      Conif   Scrabs    Decid    Grass    Arable
 1     2.67     0.50     0.00     0.40     0.00
 2     2.74     0.50     0.00     0.43     0.00
 3     2.84     0.50     0.00     0.62     0.00
 4     2.94     0.50     2.23     0.87     0.44
 5     3.08     0.50     4.32     1.09     1.76
 6     3.21     0.50     6.40     1.28     3.66
 7     3.34     0.50     7.45     1.38     4.39
 8     3.34     0.50     7.45     1.38     4.39
 9     3.21     0.50     6.40     1.24     2.93
10     3.08     0.50     4.32     1.01     0.44
11     2.87     0.50     2.23     0.69     0.00
12     2.67     0.50     0.00     0.43     0.00
