EMEP_04x04
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1         0.0000
           1           2         0.0000
           1           3         0.0000
           1           4         0.0000
           1           5         0.0000
           1           6         0.0000
           1           7         0.0000
           1           8         0.0000
           1           9         0.0000
           1          10         0.0000
           1          11         0.0000
           1          12         0.0000
           1          13         0.0000
           1          14         0.0000
           1          15         0.0000
           1          16         0.0022
           1          17         0.0088
           1          18         0.0265
           1          19         0.0542
           1          20         0.0453
           1          21         0.0000
           1          22         0.0155
           1          23         0.0947
           1          24         0.1192
           1          25         0.1192
           1          26         0.1009
           1          27         0.0474
           1          28         0.0140
           1          29         0.0060
           1          30         0.0014
           1          31         0.0001
           1          32         0.0002
           1          33         0.0000
           1          34         0.0000
           1          35         0.0000
           1          36         0.0000
           1          37         0.0000
           1          38         0.0000
           1          39         0.0000
           1          40         0.0000
           1          41         0.0000
           1          42         0.0000
           1          43         0.0000
           1          44         0.0000
           1          45         0.0000
           1          46         0.0000
           1          47         0.0000
           1          48         0.0000
           1          49         0.0000
           1          50         0.0000
           1          51         0.0000
           1          52         0.0000
           1          53         0.0000
           1          54         0.0000
           1          55         0.0000
           1          56         0.0000
           1          57         0.0000
           1          58         0.0000
           1          59         0.0000
           1          60         0.0000
           1          61         0.0000
           1          62         0.0000
           1          63         0.0000
           1          64         0.0000
           1          65         0.0000
           1          66         0.0000
           1          67         0.0000
           1          68         0.0000
           1          69         0.0000
           1          70         0.0000
           1          71         0.0000
           1          72         0.0000
           1          73         0.0000
           1          74         0.0000
           1          75         0.0000
           1          76         0.0000
           1          77         0.0000
           1          78         0.0000
           1          79         0.0000
           1          80         0.0000
           1          81         0.0000
           1          82         0.0000
           1          83         0.0000
           1          84         0.0000
           1          85         0.0000
           1          86         0.0000
           1          87         0.0000
           1          88         0.0000
           1          89         0.0000
           1          90         0.0000
           1          91         0.0000
           1          92         0.0000
           1          93         0.0000
           1          94        28.8830
           1          95       130.1122
           1          96       514.0710
           1          97      1144.1118
           1          98      1634.2388
           1          99      1936.6685
           1         100      1999.7581
           1         101      1855.8767
           1         102      1774.1169
           1         103      1774.1169
           1         104      1805.6414
           1         105      1911.7770
           1         106      2024.5510
           1         107      2133.0283
           1         108      2215.1296
           1         109      2266.5105
           1         110      2337.9294
           1         111      2424.9722
           1         112      2499.6255
           1         113      2552.0649
           1         114      2533.1321
           1         115      2437.9636
           1         116      2317.6733
           1         117      2181.6270
           1         118      2036.3408
           1         119      1893.3690
           1         120      1760.9924
           1         121      1646.7362
           1         122      1572.4260
           1         123      1533.4043
           1         124      1535.2896
           1         125      1532.6990
           1         126      1489.9961
           1         127      1336.7673
           1         128      1101.8093
           1         129       796.5121
           1         130       629.8820
           2           1         0.0000
           2           2         0.0000
           2           3         0.0000
           2           4         0.0000
           2           5         0.0000
           2           6         0.0000
           2           7         0.0000
           2           8         0.0000
           2           9         0.0000
           2          10         0.0000
           2          11         0.0000
           2          12         0.0000
           2          13         0.0000
           2          14         0.0000
           2          15         0.0000
           2          16         0.0000
           2          17         0.0000
           2          18         0.1818
           2          19         0.7632
           2          20         1.7107
           2          21         2.7518
           2          22         2.6195
           2          23         1.2780
           2          24         0.4495
           2          25         0.0962
           2          26         0.0000
           2          27         0.0041
           2          28         0.0235
           2          29         0.0071
           2          30         0.0000
           2          31         0.0001
           2          32         0.0001
           2          33         0.0000
           2          34         0.0000
           2          35         0.0000
           2          36         0.0000
           2          37         0.0000
           2          38         0.0000
           2          39         0.0000
           2          40         0.0000
           2          41         0.0000
           2          42         0.0000
           2          43         0.0000
           2          44         0.0000
           2          45         0.0000
           2          46         0.0000
           2          47         0.0000
           2          48         0.0000
           2          49         0.0000
           2          50         0.0000
           2          51         0.0000
           2          52         0.0000
           2          53         0.0000
           2          54         0.0000
           2          55         0.0000
           2          56         0.0000
           2          57         0.0000
           2          58         0.0000
           2          59         0.0000
           2          60         0.0000
           2          61         0.0000
           2          62         0.0000
           2          63         0.0000
           2          64         0.0000
           2          65         0.0000
           2          66         0.0000
           2          67         0.0000
           2          68         0.0000
           2          69         0.0000
           2          70         0.0000
           2          71         0.0000
           2          72         0.0000
           2          73         0.0000
           2          74         0.0000
           2          75         0.0000
           2          76         0.0000
           2          77         0.0000
           2          78         0.0000
           2          79         0.0000
           2          80         0.0000
           2          81         0.0000
           2          82         0.0000
           2          83         0.0000
           2          84         0.0000
           2          85         0.0000
           2          86         0.0000
           2          87         0.0000
           2          88         0.0000
           2          89         0.0000
           2          90         0.0000
           2          91         0.0000
           2          92         0.0000
           2          93         0.0000
           2          94        19.7938
           2          95        88.4595
           2          96       446.8569
           2          97      1145.8513
           2          98      1701.7078
           2          99      1972.5892
           2         100      1936.1703
           2         101      1648.6189
           2         102      1499.7439
           2         103      1526.2245
           2         104      1542.7816
           2         105      1634.2216
           2         106      1808.5449
           2         107      1970.0305
           2         108      2042.8168
           2         109      2074.6519
           2         110      2169.3730
           2         111      2313.6499
           2         112      2432.4194
           2         113      2509.9141
           2         114      2504.2419
           2         115      2416.3159
           2         116      2298.5701
           2         117      2160.2837
           2         118      2010.2269
           2         119      1860.7012
           2         120      1716.1895
           2         121      1592.3612
           2         122      1518.6350
           2         123      1479.9272
           2         124      1476.6689
           2         125      1483.0448
           2         126      1455.9076
           2         127      1312.0944
           2         128      1071.1882
           2         129       790.8761
           2         130       636.3533
           3           1         0.0000
           3           2         0.0000
           3           3         0.0000
           3           4         0.0000
           3           5         0.0000
           3           6         0.0000
           3           7         0.0000
           3           8         0.0000
           3           9         0.0000
           3          10         0.0000
           3          11         0.0000
           3          12         0.0000
           3          13         0.0000
           3          14         0.0000
           3          15         0.0000
