FR_005x005
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1       823.0591
           1           2       795.7682
           1           3       766.7717
           1           4       745.2900
           1           5       733.2323
           1           6       733.2323
           1           7       733.2323
           1           8       733.2323
           1           9       733.2323
           1          10       740.9001
           1          11       749.8777
           1          12       762.6445
           1          13       770.5646
           1          14       776.3955
           1          15       776.3955
           1          16       776.3955
           1          17       776.0125
           1          18       774.3271
           1          19       772.6464
           1          20       772.6464
           1          21       772.6464
           1          22       772.6464
           1          23       775.5210
           1          24       780.7555
           1          25       788.7781
           1          26       800.1095
           1          27       813.6263
           1          28       833.7990
           1          29       859.4194
           1          30       890.8392
           1          31       928.3085
           1          32       957.0312
           1          33      1012.2797
           1          34      1077.9875
           1          35      1151.8633
           1          36      1230.4467
           1          37      1340.1545
           1          38      1402.0073
           1          39      1442.3016
           1          40      1442.3016
           1          41      1442.3016
           1          42      1414.6436
           1          43      1337.6819
           1          44      1227.5454
           1          45      1087.5730
           1          46       923.0510
           1          47       685.2261
           1          48       515.2465
           1          49       364.2548
           1          50       237.3281
           1          51       137.4917
           1          52        89.3034
           1          53        36.0932
           1          54         0.0000
           1          55         0.0000
           1          56         0.0000
           1          57         0.0000
           1          58         0.0000
           1          59         0.0000
           1          60         0.0000
           1          61         0.0000
           1          62         0.0000
           1          63         0.0000
           1          64         0.0000
           1          65         0.0000
           1          66         0.0000
           1          67         0.0000
           1          68         0.0000
           1          69         0.0000
           1          70         0.0000
           1          71         0.0000
           1          72         0.0000
           1          73         0.0000
           1          74         0.0000
           1          75         0.0000
           1          76         0.0000
           1          77         0.0000
           1          78         0.0000
           1          79         0.0000
           1          80         0.0000
           1          81         0.0000
           1          82         0.0000
           1          83         0.0000
           1          84         0.0000
           1          85         0.0000
           1          86         0.0000
           1          87         0.0000
           1          88         0.0000
           1          89         0.0000
           1          90         0.0000
           1          91         0.0000
           1          92         0.0000
           1          93         0.0000
           1          94         0.0000
           1          95         0.0000
           1          96         0.0000
           1          97         0.0000
           1          98         0.0000
           1          99         0.0000
           1         100         0.0000
           1         101         0.0000
           1         102         0.0000
           1         103         0.0000
           1         104         0.0000
           1         105         0.0000
           1         106         0.0000
           1         107         0.0000
           1         108         0.0000
           1         109         0.0000
           1         110         0.0000
           1         111         0.0000
           1         112         0.0000
           1         113         0.0000
           1         114         0.0000
           1         115         0.0000
           1         116         0.0000
           1         117         0.0000
           1         118         0.0000
           1         119         0.0000
           1         120         0.0000
           1         121         0.0000
           1         122         0.0000
           1         123         0.0000
           1         124         0.0000
           1         125         0.0103
           1         126         0.0232
           1         127         0.0526
           1         128         0.0619
           1         129         0.0650
           1         130         0.0617
           1         131         0.0524
           1         132         0.0394
           1         133         0.0213
           1         134         0.0018
           1         135         0.0018
           1         136         0.0018
           1         137         0.0018
           1         138         0.0018
           1         139         0.0201
           1         140         0.0706
           1         141         0.1585
           1         142         0.0274
           1         143         0.3177
           1         144         0.7911
           1         145         1.4086
           1         146         2.1300
           1         147         3.5953
           1         148         4.0801
           1         149         4.2376
           1         150         4.0530
           1         151         3.5434
           1         152         2.0369
           1         153         1.3106
           1         154         0.7040
           1         155         0.2567
           1         156         0.1499
           1         157         0.2306
           1         158         0.1793
           1         159         0.1499
           1         160         0.1294
           1         161         0.1082
           1         162         0.0327
           1         163         0.0136
           1         164         0.0013
           1         165         0.0000
           1         166         0.0000
           1         167         0.0000
           1         168         0.0000
           1         169         0.0000
           1         170         0.0130
           1         171         0.0281
           1         172         0.0695
           1         173         0.0695
           1         174         0.0695
           1         175         0.0041
           1         176         0.0053
           1         177         0.0000
           1         178         0.0000
           1         179         0.0000
           1         180         2.6927
           1         181         6.3615
           1         182        11.3987
           1         183        16.4303
           1         184        21.7408
           1         185        27.0740
           1         186        32.1379
           1         187        39.4000
           1         188        41.9071
           1         189        42.2545
           1         190        40.4057
           1         191        36.4883
           1         192        27.3670
           1         193        21.5729
           1         194        16.0537
           1         195        11.1023
           1         196         6.9307
           1         197         4.2805
           1         198         1.7625
           1         199         0.0000
           1         200         0.0000
           1         201         0.0000
           1         202         0.1390
           1         203         0.0967
           1         204         0.3476
           1         205         0.0695
           1         206         0.1390
           1         207         0.0000
           1         208         0.0000
           1         209         0.0000
           1         210         3.9668
           1         211         9.5210
           1         212        15.7393
           1         213        24.4494
           1         214        34.4871
           1         215        45.3838
           1         216        56.5200
           1         217        74.5863
           1         218        81.0760
           1         219        82.9111
           1         220        79.9351
           1         221        72.3736
           2           1       834.5985
           2           2       799.6078
           2           3       771.8664
           2           4       750.3748
           2           5       735.6781
           2           6       733.6138
           2           7       736.5653
           2           8       740.6706
           2           9       737.5771
           2          10       736.6670
           2          11       744.1458
           2          12       764.7737
