FR_07
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1       833.0452
           1           2       832.8667
           1           3       832.6741
           1           4       832.1074
           1           5       818.7100
           1           6       792.8304
           1           7       771.2308
           1           8       751.3225
           1           9       734.6179
           1          10       722.2747
           1          11       714.6758
           1          12       713.0642
           1          13       712.5405
           1          14       714.0234
           1          15       715.9001
           1          16       722.3954
           1          17       731.5693
           1          18       745.6733
           1          19       752.8641
           1          20       756.2551
           1          21       755.0530
           1          22       757.8019
           1          23       765.4136
           1          24       777.8302
           1          25       808.0685
           1          26       854.6694
           1          27       912.6823
           1          28       995.6300
           1          29      1092.2183
           1          30      1204.2604
           1          31      1277.8660
           1          32      1277.8660
           1          33      1277.8660
           1          34      1232.9285
           1          35      1092.0409
           1          36       877.8223
           1          37       679.6574
           1          38       492.1261
           1          39       327.1448
           1          40       196.8441
           1          41       104.0621
           1          42        56.5477
           1          43        22.4743
           1          44         5.0549
           1          45         0.8037
           1          46         0.0000
           1          47         1.2757
           1          48         0.0000
           1          49         0.0000
           1          50         0.0000
           1          51         0.0000
           1          52         0.0000
           1          53         0.0000
           1          54         0.0000
           1          55         0.0000
           1          56         0.0000
           1          57         0.0000
           1          58         0.0000
           1          59         0.0000
           1          60         0.0000
           1          61         0.0000
           1          62         0.0000
           1          63         0.0000
           1          64         0.0000
           1          65         0.0000
           1          66         0.0000
           1          67         0.0000
           1          68         0.0000
           1          69         0.0000
           1          70         0.0000
           1          71         0.0000
           1          72         0.0000
           1          73         0.0000
           1          74         0.0000
           1          75         0.0000
           1          76         0.0000
           1          77         0.0000
           1          78         0.0000
           1          79         0.0000
           1          80         0.0000
           1          81         0.0000
           1          82         0.0000
           1          83         0.0000
           1          84         0.0000
           1          85         0.0000
           1          86         0.0000
           1          87         0.0000
           1          88         0.0000
           1          89         0.0000
           1          90         0.0000
           1          91         0.0000
           1          92         0.0000
           1          93         0.0000
           1          94         0.0000
           1          95         0.0000
           1          96         0.0000
           1          97         0.0000
           1          98         0.0000
           1          99         0.0000
           1         100         0.0000
           1         101         0.0000
           1         102         0.0000
           1         103         0.0000
           1         104         0.0000
           1         105         0.0000
           1         106         0.0000
           1         107         0.0000
           1         108         0.0000
           1         109         0.0000
           1         110         0.0000
           1         111         0.0000
           1         112         0.0000
           1         113         0.0396
           1         114         0.1189
           1         115         0.1376
           1         116         0.1189
           1         117         0.0396
           1         118         0.0000
           1         119         0.0000
           1         120         0.0000
           1         121         0.0000
           1         122         0.0000
           1         123         0.0000
           1         124         0.0000
           1         125         0.0396
           1         126         0.1189
           1         127         0.1376
           1         128         0.1189
           1         129         0.0396
