GH_01x01
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1       359.4879
           1           2       365.0265
           1           3       367.1975
           1           4       365.2103
           1           5       363.7314
           1           6       359.9099
           1           7       354.3469
           1           8       347.1619
           1           9       340.4319
           1          10       333.5698
           1          11       322.8463
           1          12       314.2286
           1          13       306.6713
           1          14       299.8975
           1          15       293.9442
           1          16       289.8775
           1          17       288.3607
           1          18       289.1063
           1          19       288.6768
           1          20       287.5786
           1          21       288.2229
           1          22       286.5142
           1          23       282.4998
           1          24       277.0486
           1          25       274.1326
           1          26       267.1992
           1          27       257.9841
           1          28       250.1542
           1          29       244.4957
           1          30       238.7904
           1          31       233.7859
           1          32       232.7607
           1          33       233.8642
           1          34       233.9450
           1          35       230.4960
           1          36       228.2149
           1          37       229.8943
           1          38       233.2098
           1          39       235.4289
           1          40       238.2250
           1          41       241.9560
           1          42       245.0237
           1          43       247.3061
           1          44       249.9034
           1          45       253.6856
           1          46       257.5097
           1          47       263.4261
           1          48       269.1425
           1          49       274.2636
           1          50       280.9469
           1          51       292.8317
           1          52       303.0726
           1          53       308.9358
           1          54       310.0539
           1          55       310.4289
           1          56       310.0829
           1          57       315.5195
           1          58       324.5976
           1          59       331.4343
           1          60       333.5001
           1          61       333.8495
           1          62       340.7550
           1          63       352.7408
           1          64       367.2411
           1          65       382.8543
           1          66       403.9525
           1          67       421.7524
           1          68       438.3192
           1          69       450.9873
           1          70       459.4333
           1          71       464.2473
           1          72       467.0063
           1          73       468.3545
           1          74       468.4559
           1          75       468.3617
           1          76       464.2231
           1          77       463.8900
           1          78       463.4858
           1          79       464.2231
           1          80       467.9705
           1          81       475.6422
           1          82       485.1122
           1          83       496.3679
           1          84       507.9117
           1          85       519.8436
           1          86       536.8137
           1          87       550.3160
           1          88       560.6150
           1          89       571.2279
           1          90       582.9679
           1          91       588.4993
           1          92       596.2748
           1          93       605.3182
           1          94       614.8961
           1          95       624.3860
           1          96       634.8613
           1          97       644.7533
           1          98       655.0103
           1          99       665.9850
           1         100       676.8772
           2           1       343.1229
