HR_01x01
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1         0.0930
           1           2         0.0069
           1           3         0.0000
           1           4         0.0000
           1           5         7.5726
           1           6        18.0609
           1           7        45.1881
           1           8        84.7300
           1           9       140.5170
           1          10       188.5392
           1          11       231.9413
           1          12       264.6085
           1          13       299.7623
           1          14       331.7750
           1          15       365.8997
           1          16       376.1841
           1          17       370.2216
           1          18       344.6731
           1          19       326.9583
           1          20       326.9583
           1          21       326.9583
           1          22       338.9865
           1          23       396.6598
           1          24       492.5762
           1          25       544.8625
           1          26       544.8625
           1          27       543.5707
           1          28       482.3706
           1          29       386.4395
           1          30       246.0602
           1          31       143.5032
           1          32        68.2258
           1          33        34.9550
           1          34         8.9980
           1          35         4.0000
           1          36         4.0000
           1          37         4.0000
           1          38         8.8195
           1          39        13.3353
           1          40        15.1671
           1          41        15.6370
           1          42        20.6503
           1          43        23.0207
           1          44        33.8221
           1          45        42.3190
           1          46       128.8198
           1          47       276.8401
           1          48       493.5302
           1          49       731.7322
           1          50       986.4747
           1          51      1259.4851
           1          52      1467.3403
           1          53      1618.7466
           1          54      1690.5964
           1          55      1752.9500
           1          56      1789.4274
           1          57      1789.4274
           1          58      1789.4274
           1          59      1739.2773
           1          60      1663.2753
           1          61      1546.7400
           1          62      1400.0090
           1          63      1220.9871
           1          64      1055.7950
           1          65       903.5283
           2           1         0.0803
           2           2         0.0017
           2           3         0.0000
           2           4         0.0000
           2           5         7.7287
           2           6        17.3303
           2           7        46.3917
           2           8        91.0825
           2           9       173.8785
           2          10       237.5996
           2          11       264.7161
           2          12       269.9401
           2          13       298.5601
           2          14       331.5490
           2          15       353.3727
           2          16       354.6213
           2          17       349.6471
           2          18       329.1311
           2          19       311.5520
           2          20       312.7258
           2          21       326.6456
           2          22       381.4952
           2          23       453.4525
           2          24       540.4598
           2          25       601.5259
           2          26       628.0190
           2          27       586.2550
           2          28       490.8101
           2          29       362.3124
           2          30       205.1537
           2          31        97.0443
           2          32        30.6514
           2          33        17.7000
           2          34         4.3117
           2          35         3.3404
           2          36         3.3379
           2          37         3.2783
           2          38         6.1916
           2          39         8.2015
           2          40         8.2778
           2          41         5.5982
           2          42         7.6992
           2          43         7.9384
           2          44        21.1815
           2          45        40.9550
           2          46       113.7758
           2          47       276.9842
           2          48       489.8136
           2          49       682.2046
           2          50       968.2660
           2          51      1255.2234
           2          52      1438.8723
           2          53      1637.3402
           2          54      1786.4906
           2          55      1861.5337
           2          56      1881.5936
           2          57      1884.1094
           2          58      1957.5767
           2          59      1957.8452
           2          60      1797.6693
           2          61      1615.9875
           2          62      1387.4146
           2          63      1133.6848
           2          64      1019.3616
           2          65       910.1890
           3           1         0.0861
           3           2         0.0004
           3           3         0.0000
           3           4         0.0014
           3           5         7.1672
           3           6        15.4180
           3           7        42.8660
           3           8        94.4348
           3           9       204.1107
           3          10       284.5022
           3          11       317.9433
           3          12       315.0131
           3          13       318.4221
           3          14       340.8896
           3          15       342.8320
           3          16       314.4535
           3          17       323.6924
           3          18       332.3991
           3          19       306.2469
           3          20       312.3984
           3          21       361.5193
           3          22       448.9260
           3          23       510.0938
           3          24       570.6178
           3          25       655.3304
           3          26       704.5588
           3          27       627.9058
           3          28       486.4990
           3          29       320.6384
           3          30       155.6482
           3          31        59.6837
           3          32        12.0717
           3          33         9.3753
           3          34         2.4584
           3          35         2.2551
           3          36         2.4878
           3          37         3.2464
           3          38         4.6043
           3          39         6.0092
           3          40         5.3668
           3          41         3.8962
           3          42         5.9426
           3          43         8.5593
           3          44        19.7167
           3          45        40.1120
           3          46        96.3223
           3          47       266.1354
           3          48       482.5374
           3          49       600.4732
           3          50       824.3571
           3          51      1157.3386
           3          52      1414.2432
           3          53      1619.5071
           3          54      1876.8330
           3          55      1967.2351
           3          56      1935.4080
           3          57      2051.8311
           3          58      2168.3994
           3          59      2174.8757
           3          60      2005.5658
           3          61      1715.9402
           3          62      1400.0393
           3          63      1081.5024
           3          64       930.9760
           3          65       839.8361
           4           1         0.0000
           4           2         0.0000
           4           3         0.0000
           4           4         0.0173
           4           5         5.4961
           4           6        11.6337
           4           7        33.0487
           4           8        93.3420
           4           9       213.1737
           4          10       299.5715
           4          11       367.8601
           4          12       404.5829
           4          13       344.9059
           4          14       279.5920
           4          15       265.2328
           4          16       277.5895
           4          17       346.5894
           4          18       371.9308
           4          19       321.8332
           4          20       322.1842
           4          21       396.2729
           4          22       454.3875
           4          23       467.9040
           4          24       556.7504
           4          25       735.3199
           4          26       778.2861
           4          27       605.6825
           4          28       420.3571
           4          29       260.8519
           4          30       116.0997
           4          31        36.9096
           4          32         3.3068
           4          33         4.6741
           4          34         1.2649
           4          35         2.0047
           4          36         1.6401
           4          37         2.7308
           4          38         2.4902
           4          39         3.8184
           4          40         3.1469
           4          41         2.3979
           4          42         2.5238
           4          43         6.9550
           4          44        16.5725
           4          45        32.8302
           4          46        86.9745
           4          47       204.5462
           4          48       421.0022
           4          49       570.3572
           4          50       761.2448
           4          51      1130.7303
           4          52      1445.5771
           4          53      1624.8265
           4          54      1854.7214
           4          55      1956.0223
           4          56      1922.6533
           4          57      2194.0691
           4          58      2433.6101
           4          59      2351.6958
           4          60      2056.7529
           4          61      1662.8617
           4          62      1341.7190
           4          63      1026.1643
           4          64       805.8778
           4          65       680.6948
           5           1         0.0000
           5           2         0.0000
           5           3         0.0296
           5           4         0.0000
           5           5         3.5655
           5           6         7.5371
           5           7        29.8492
           5           8        93.4561
           5           9       191.9919
           5          10       249.8024
           5          11       320.9704
           5          12       376.1566
           5          13       294.1974
           5          14       206.3271
           5          15       220.2879
           5          16       281.8853
           5          17       333.4612
           5          18       311.4930
           5          19       290.0350
           5          20       357.8672
           5          21       427.2009
           5          22       417.6913
           5          23       445.7676
           5          24       581.1935
           5          25       732.9336
           5          26       761.1301
           5          27       577.7288
           5          28       358.2995
           5          29       202.2765
           5          30        77.9005
           5          31        16.9002
           5          32         2.1625
           5          33         2.0448
           5          34         0.9369
           5          35         1.3003
           5          36         0.8898
           5          37         2.1784
           5          38         1.9625
           5          39         2.4319
           5          40         1.7047
           5          41         0.6486
           5          42         0.3938
           5          43         3.7895
           5          44        12.0507
           5          45        22.4578
           5          46        66.8544
           5          47        99.6445
           5          48       383.2251
           5          49       701.0866
           5          50       760.4455
           5          51      1043.7256
           5          52      1471.4692
           5          53      1625.9613
           5          54      1742.2811
           5          55      1908.8699
           5          56      1889.1104
           5          57      2106.7656
           5          58      2550.8074
           5          59      2614.7422
           5          60      2107.4429
           5          61      1578.2561
           5          62      1361.8759
           5          63      1128.7413
           5          64       892.0763
           5          65       721.4263
           6           1         0.0000
           6           2         0.0120
           6           3         0.0000
           6           4         0.0000
           6           5         4.5310
           6           6        13.4405
           6           7        35.6447
           6           8        83.2687
           6           9       166.7624
           6          10       225.3070
           6          11       229.7686
           6          12       202.4603
           6          13       209.5363
           6          14       305.0467
           6          15       348.8570
           6          16       292.6302
           6          17       261.1331
           6          18       236.2612
           6          19       251.2778
           6          20       346.9229
           6          21       417.7771
           6          22       449.7195
           6          23       546.9138
           6          24       620.0540
           6          25       583.3737
           6          26       620.6542
           6          27       599.4314
           6          28       342.9456
           6          29       119.2504
           6          30        32.4111
           6          31         7.4202
           6          32         0.5058
           6          33         0.3815
           6          34         0.3437
           6          35         0.5353
           6          36         0.2735
           6          37         1.4383
           6          38         1.3644
           6          39         1.1100
           6          40         0.4759
           6          41         0.0826
           6          42         0.0712
           6          43         0.7868
           6          44         6.3570
           6          45        13.6646
           6          46        33.7653
           6          47        65.8856
           6          48       374.7985
           6          49       930.1779
           6          50       904.2834
           6          51       935.0333
           6          52      1306.2412
           6          53      1424.6531
           6          54      1539.5492
           6          55      1730.3389
           6          56      1779.6937
           6          57      2069.3096
           6          58      2496.4946
           6          59      2678.7373
           6          60      2324.0591
           6          61      1753.0994
           6          62      1488.8657
           6          63      1234.9414
           6          64       951.8807
           6          65       738.5488
           7           1         0.0000
           7           2         0.0000
           7           3         0.0000
           7           4         1.1512
           7           5        16.6678
           7           6        32.0849
           7           7        36.0307
           7           8        43.5650
           7           9       114.8225
           7          10       210.1893
           7          11       168.4228
           7          12       108.1496
           7          13       198.5865
           7          14       338.9301
           7          15       392.1702
           7          16       347.9422
           7          17       321.2422
           7          18       273.8171
           7          19       199.8712
           7          20       281.8954
           7          21       432.3560
           7          22       521.2960
           7          23       670.9504
           7          24       716.0183
           7          25       491.6906
           7          26       403.0365
           7          27       462.8711
           7          28       283.7342
           7          29        53.3379
           7          30         3.9951
           7          31         0.0000
           7          32         0.0000
           7          33         0.0000
           7          34         0.0000
           7          35         0.0000
           7          36         0.1890
           7          37         0.7846
           7          38         0.7897
           7          39         0.1698
           7          40         0.0000
           7          41         0.0000
           7          42         0.1310
           7          43         0.1565
           7          44         1.3477
           7          45         5.8581
           7          46         8.4718
           7          47        13.0000
           7          48       177.3999
           7          49       887.8127
           7          50      1240.3765
           7          51      1119.6464
           7          52      1250.7041
           7          53      1304.1362
           7          54      1334.0940
           7          55      1499.2861
           7          56      1624.5657
           7          57      1940.4021
           7          58      2170.4124
           7          59      2399.2827
           7          60      2315.4397
           7          61      1834.7683
           7          62      1611.8129
           7          63      1276.1641
           7          64       885.5645
           7          65       707.7614
           8           1        10.5898
           8           2        11.8086
           8           3        13.2175
           8           4        24.3880
           8           5        59.6073
           8           6        89.1878
           8           7        63.7764
           8           8        35.7072
           8           9        64.6965
           8          10       110.4940
