PLN_01x01
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1      1733.1541
           1           2      1624.7240
           1           3      1466.1410
           1           4      1268.1846
           1           5      1188.3969
           1           6      1085.9091
           1           7       887.4621
           1           8       699.5242
           1           9       598.1761
           1          10       532.2471
           1          11       485.5748
           1          12       473.6743
           1          13       450.4883
           1          14       438.5234
           1          15       435.0123
           1          16       426.2088
           1          17       417.1802
           1          18       412.1409
           1          19       414.0120
           1          20       413.4904
           1          21       417.4061
           1          22       429.3181
           1          23       441.4737
           1          24       452.8513
           1          25       469.2435
           1          26       486.8961
           1          27       507.2446
           1          28       539.2183
           1          29       570.2607
           1          30       582.5799
           1          31       572.6193
           1          32       558.3591
           1          33       537.6644
           1          34       511.0223
           1          35       468.0952
           1          36       400.6967
           1          37       342.8012
           1          38       293.7980
           1          39       251.7570
           1          40       213.3074
           1          41       176.0713
           1          42       146.4672
           1          43       127.8690
           1          44       121.6948
           1          45       113.7898
           1          46       105.6458
           1          47        96.6429
           1          48        86.3282
           1          49        80.3228
           1          50        76.1394
           1          51        67.4763
           1          52        56.0903
           1          53        47.3559
           1          54        40.7343
           1          55        36.4363
           1          56        32.2824
           1          57        31.0045
           1          58        31.2784
           1          59        35.0096
           1          60        43.1364
           1          61        49.3692
           1          62        53.9874
           1          63        57.1388
           1          64        58.4104
           1          65        58.1035
           1          66        54.7071
           1          67        48.4045
           1          68        38.3865
           1          69        32.9736
           1          70        28.8778
           1          71        17.4312
           1          72         7.3040
           1          73         3.3710
           1          74         2.1782
           1          75         2.1782
           1          76         5.0152
           1          77         9.6166
           1          78        14.3597
           1          79        19.9168
           1          80        28.3752
           1          81        35.8601
           1          82        40.2832
           1          83        37.6147
           1          84        35.9516
           1          85        34.4604
           1          86        27.6245
           1          87        20.1788
           1          88        12.9774
           1          89         8.3149
           1          90         4.6990
           1          91         1.9536
           1          92         1.4148
           1          93         0.3793
           1          94         0.0000
           1          95         0.0000
           1          96         0.0801
           1          97         0.0000
           1          98         0.2629
           1          99         1.2213
           1         100         0.6790
           1         101         5.1354
           1         102        12.3636
           1         103        22.3633
           1         104        40.3070
           1         105        54.3440
           1         106        64.8976
           2           1      1809.4675
           2           2      1711.0775
           2           3      1490.8127
           2           4      1247.0498
