PL_01x01
i        j       Height(m a.s.l.)
----------------------------
1        1       1.72200E+03
1        2       1.51200E+03
1        3       1.23900E+03
1        4       1.09500E+03
1        5       1.01300E+03
1        6       8.32100E+02
1        7       6.50800E+02
1        8       5.67400E+02
1        9       5.26700E+02
1        10      4.98000E+02
1        11      4.83300E+02
1        12      4.58600E+02
1        13      4.41800E+02
1        14      4.31300E+02
1        15      4.27000E+02
1        16      4.18500E+02
1        17      4.04800E+02
1        18      3.98700E+02
1        19      3.97400E+02
1        20      4.00400E+02
1        21      4.09800E+02
1        22      4.24300E+02
1        23      4.49200E+02
1        24      4.65500E+02
1        25      4.77600E+02
1        26      5.10400E+02
1        27      5.59700E+02
1        28      5.88100E+02
1        29      5.86400E+02
1        30      5.83200E+02
1        31      5.81600E+02
1        32      5.49300E+02
1        33      5.02400E+02
1        34      4.60600E+02
1        35      4.02100E+02
1        36      3.39200E+02
1        37      2.88400E+02
1        38      2.49300E+02
1        39      2.08700E+02
1        40      1.67000E+02
1        41      1.32600E+02
1        42      1.12000E+02
1        43      1.08800E+02
1        44      1.04800E+02
1        45      9.70100E+01
1        46      8.77800E+01
1        47      7.98300E+01
1        48      7.75800E+01
1        49      7.75500E+01
1        50      7.05400E+01
1        51      5.63200E+01
1        52      4.47800E+01
1        53      3.78200E+01
1        54      3.43400E+01
1        55      3.21100E+01
1        56      3.13700E+01
1        57      3.23900E+01
1        58      3.92700E+01
1        59      5.04500E+01
1        60      5.64800E+01
1        61      6.02000E+01
1        62      6.10500E+01
1        63      6.05100E+01
1        64      5.98000E+01
1        65      5.55200E+01
1        66      4.52700E+01
1        67      3.27700E+01
1        68      2.81400E+01
1        69      2.41400E+01
1        70      1.37500E+01
1        71      5.43300E+00
1        72      2.32700E+00
1        73      1.41100E+00
1        74      1.40300E+00
1        75      3.88100E+00
1        76      8.15500E+00
1        77      1.29100E+01
1        78      1.95700E+01
1        79      2.68900E+01
1        80      3.13700E+01
1        81      3.65200E+01
1        82      3.57700E+01
1        83      3.30600E+01
1        84      3.16200E+01
1        85      2.51100E+01
1        86      1.74100E+01
1        87      1.20400E+01
1        88      8.82100E+00
1        89      5.32900E+00
1        90      2.16700E+00
1        91      1.44600E+00
1        92      6.06900E-01
1        93      2.83100E-01
1        94      2.83100E-01
1        95      2.83100E-01
1        96      2.83100E-01
1        97      1.20800E+00
1        98      2.94000E+00
1        99      3.98200E+00
1        100     8.81500E+00
1        101     1.58100E+01
1        102     2.63700E+01
1        103     4.57500E+01
1        104     6.58000E+01
2        1       1.70700E+03
2        2       1.49600E+03
2        3       1.21400E+03
2        4       1.01500E+03
2        5       9.18000E+02
2        6       7.79800E+02
2        7       6.23100E+02
2        8       5.39500E+02
2        9       5.11500E+02
2        10      4.99100E+02
2        11      4.87300E+02
2        12      4.65600E+02
2        13      4.49100E+02
2        14      4.30600E+02
2        15      4.23600E+02
2        16      4.15200E+02
2        17      3.94700E+02
2        18      3.80600E+02
2        19      3.87600E+02
2        20      4.01200E+02
2        21      4.03000E+02
2        22      4.11600E+02
2        23      4.38000E+02
2        24      4.57200E+02
2        25      4.72500E+02
2        26      5.00900E+02
2        27      5.45700E+02
2        28      5.80500E+02
2        29      5.85900E+02
2        30      5.96200E+02
2        31      6.07200E+02
2        32      5.63600E+02
2        33      4.97000E+02
2        34      4.50400E+02
2        35      3.98600E+02
2        36      3.42500E+02
2        37      2.97600E+02
2        38      2.56200E+02
2        39      2.00700E+02
2        40      1.54000E+02
2        41      1.25300E+02
2        42      1.09000E+02
2        43      1.06800E+02
2        44      9.93800E+01
2        45      9.03100E+01
2        46      8.24200E+01
2        47      7.64600E+01
2        48      7.79300E+01
2        49      8.21600E+01
2        50      7.80500E+01
2        51      5.98000E+01
2        52      4.30700E+01
2        53      3.60300E+01
2        54      3.45200E+01
2        55      3.30500E+01
2        56      3.09000E+01
2        57      3.37500E+01
2        58      4.54500E+01
2        59      6.04400E+01
2        60      6.83600E+01
2        61      7.06800E+01
2        62      6.77700E+01
2        63      6.32800E+01
2        64      6.03600E+01
2        65      5.47400E+01
2        66      4.20700E+01
2        67      3.13700E+01
2        68      2.87700E+01
2        69      2.32900E+01
2        70      1.25200E+01
2        71      4.11800E+00
2        72      1.50300E+00
2        73      8.29400E-01
2        74      8.29400E-01
2        75      2.48900E+00
