PL_21
           i           j   heigt(m a.s.l.)
------------------------------------------
           1           1         0.0136
           1           2         0.0000
           1           3         0.0000
           1           4         4.9179
           1           5        11.9349
           1           6        24.9471
           1           7        43.2210
           1           8        64.6251
           1           9        73.9239
           1          10        74.4465
           1          11        67.1129
           1          12        63.3151
           1          13        62.2890
           1          14        63.0007
           1          15        71.7270
           1          16        83.7931
           1          17        99.8943
           1          18       105.9386
           1          19       116.5990
           1          20       121.4222
           1          21       104.1583
           1          22        87.7999
           1          23        86.2126
           1          24        89.1627
           1          25        96.7707
           1          26       109.5320
           1          27       121.2767
           1          28       132.7230
           1          29       143.8560
           1          30       154.2131
           1          31       167.4019
           1          32       197.0087
           1          33       210.1934
           1          34       198.8529
           1          35       199.6058
           1          36       194.7031
           1          37       185.9467
           1          38       185.4857
           1          39       166.8383
           1          40       114.7204
           1          41        64.5508
           1          42        40.6264
           1          43        21.5107
           1          44         8.2981
           1          45         0.0000
           1          46         0.0000
           1          47         0.0000
           1          48         0.0000
           1          49         0.0000
           1          50         0.0000
           1          51         0.0000
           1          52         0.0000
           1          53         0.0000
           1          54         0.0000
           1          55         0.0000
           1          56         0.0000
           1          57         0.0000
           1          58         0.0000
           1          59         0.0000
           1          60         0.0000
           1          61         0.0000
           1          62         0.0000
           1          63         0.0000
           1          64         0.0000
           1          65         0.0000
           1          66         0.0000
           1          67         0.0000
           1          68         0.0000
           1          69         0.0000
           1          70         0.0000
           1          71         0.0000
           1          72         0.0000
           1          73         0.0000
           1          74         0.0000
           1          75         0.0000
           1          76         0.0000
           1          77         0.0000
           1          78         0.0000
           1          79         0.0000
           1          80         0.0000
           1          81         0.0000
           1          82         8.8965
           1          83        22.4671
           1          84        45.3150
           1          85        78.0993
           1          86       120.9194
           1          87       148.8623
           1          88       144.6972
           1          89       129.3993
           1          90       112.7690
           1          91       104.2433
           1          92        87.0325
           1          93        64.9883
           1          94        54.6575
           1          95        56.1849
           1          96        58.5908
           1          97        68.5877
           1          98        72.8686
           1          99        61.4630
           1         100        60.3199
           1         101        64.8393
           1         102        51.8699
           1         103        39.1808
           1         104        22.9455
           1         105        11.9476
           1         106         4.1936
           1         107         1.9494
           1         108         0.0000
           1         109         0.0000
           1         110         0.0011
           1         111         0.0039
           1         112         0.0033
           1         113         0.0023
           1         114         0.0000
           1         115         0.0011
           1         116         0.0000
           1         117         0.1326
           1         118         0.3632
           1         119         0.3807
           1         120         0.3293
           1         121         0.2970
           1         122         0.1475
           1         123         0.0624
           1         124         0.0079
           1         125         0.0123
           1         126         0.0018
           1         127         0.0000
           1         128         0.0000
           1         129         0.0000
           1         130         0.0284
           1         131         0.1349
           1         132         0.1084
           1         133         0.0449
           1         134         0.1084
           1         135         0.1349
           1         136         0.8183
           1         137         1.9089
           1         138         3.0430
           1         139         4.1497
           1         140         5.3841
           1         141         5.5291
           1         142         4.8833
           1         143         3.0948
           1         144         1.9315
           1         145         1.0944
           1         146         0.8740
           1         147         0.5519
           1         148         0.3125
           1         149         0.1033
           1         150         0.0000
           1         151         0.0000
           1         152         0.0000
           1         153         0.0000
           1         154         0.0000
           1         155         0.0000
           1         156         0.0000
           1         157         0.0000
           1         158         0.0000
           2           1         0.0272
           2           2         0.0000
           2           3         0.3470
           2           4         6.0095
           2           5        13.7062
           2           6        29.1123
           2           7        58.1882
           2           8       114.7950
           2           9       150.6870
           2          10       145.2590
           2          11       128.6484
           2          12       116.7836
           2          13       106.4837
           2          14       110.0673
           2          15       124.3431
           2          16       118.2875
           2          17       113.8947
           2          18       126.7422
           2          19       143.1352
           2          20       162.1982
           2          21       179.1530
           2          22       202.0367
           2          23       204.9787
           2          24       164.0527
           2          25       168.5722
           2          26       214.5103
           2          27       251.6299
           2          28       266.7712
           2          29       250.4789
           2          30       246.8986
           2          31       307.2537
           2          32       412.3638
           2          33       417.0059
           2          34       347.1684
           2          35       353.8167
           2          36       376.1376
           2          37       348.8755
           2          38       313.0024
           2          39       277.8873
           2          40       196.3939
           2          41        98.7830
           2          42        50.6960
           2          43        25.6599
           2          44         9.8910
           2          45         0.0000
           2          46         0.0000
           2          47         0.0000
           2          48         0.0000
           2          49         0.0000
           2          50         0.0000
           2          51         0.0000
           2          52         0.0000
           2          53         0.0000
           2          54         0.0000
           2          55         0.0000
           2          56         0.0000
           2          57         0.0000
           2          58         0.0012
           2          59         0.0037
           2          60         0.0042
           2          61         0.0037
           2          62         0.0012
           2          63         0.0000
           2          64         0.0000
           2          65         0.0000
           2          66         0.0000
           2          67         0.0000
           2          68         0.0000
           2          69         0.0000
           2          70         0.0000
           2          71         0.0000
           2          72         0.0000
           2          73         0.0000
           2          74         0.0000
           2          75         0.0000
           2          76         0.0000
           2          77         0.0000
           2          78         0.0000
           2          79         0.0000
           2          80         0.0000
           2          81         0.0000
           2          82         4.5772
           2          83        10.5742
           2          84        24.2380
           2          85        48.5282
           2          86        99.2028
           2          87       137.7485
           2          88       139.4557
           2          89       131.3518
           2          90       132.8667
           2          91       134.2960
           2          92       120.0127
           2          93        87.8994
           2          94        71.1160
           2          95        73.8159
           2          96        74.7080
           2          97        88.9149
           2          98       103.9009
           2          99        92.8370
           2         100       103.3319
           2         101       127.1054
           2         102        98.9261
           2         103        62.9978
           2         104        35.6551
           2         105        17.1580
           2         106         6.3701
           2         107         2.7486
           2         108         0.0000
           2         109         0.0000
           2         110         0.7305
           2         111         1.4026
           2         112         1.4026
           2         113         0.3451
           2         114         0.0000
           2         115         0.0000
           2         116         0.2878
           2         117         1.0862
           2         118         2.1565
           2         119         1.8556
           2         120         1.4241
           2         121         1.1924
           2         122         0.5425
           2         123         0.1734
           2         124         0.0000
           2         125         0.0095
           2         126         0.0000
           2         127         0.0079
           2         128         0.0000
           2         129         0.0000
           2         130         0.0109
           2         131         0.0360
           2         132         0.0289
           2         133         0.0032
           2         134         0.0289
           2         135         0.0360
           2         136         1.4166
           2         137         3.6385
           2         138         5.8954
           2         139         8.0682
           2         140        10.4185
           2         141        10.7119
           2         142         9.4825
           2         143         6.1285
           2         144         3.7420
           2         145         1.8546
           2         146         0.8965
           2         147         0.1472
           2         148         0.0000
           2         149         0.0042
           2         150         0.0000
           2         151         0.0588
           2         152         0.0000
           2         153         0.0000
           2         154         0.0000
