PL_01x01
  15
             Austria,  AT,  682,EMEP
  1    1  0.100000E+03
  1    2  0.100000E+03
  1    3  0.100000E+03
  1    4  0.100000E+03
  1    5  0.209058E+02
  2    1  0.100000E+03
  2    2  0.100000E+03
  2    3  0.100000E+03
  2    4  0.100000E+03
  2    5  0.112407E+02
  3    1  0.100000E+03
  3    2  0.100000E+03
  3    3  0.100000E+03
  3    4  0.100000E+03
  3    5  0.569458E+02
  4    1  0.100000E+03
  4    2  0.100000E+03
  4    3  0.100000E+03
  4    4  0.100000E+03
  4    5  0.635203E+02
  5    1  0.100000E+03
  5    2  0.100000E+03
  5    3  0.100000E+03
  5    4  0.100000E+03
  5    5  0.610530E+02
  6    1  0.100000E+03
  6    2  0.100000E+03
  6    3  0.100000E+03
  6    4  0.100000E+03
  6    5  0.422279E+02
  7    1  0.100000E+03
  7    2  0.100000E+03
  7    3  0.100000E+03
  7    4  0.100000E+03
  7    5  0.809825E+02
  8    1  0.100000E+03
  8    2  0.100000E+03
  8    3  0.100000E+03
  8    4  0.968779E+02
  8    5  0.716412E+02
  8    9  0.118931E+02
  8   10  0.173730E+02
  9    1  0.100000E+03
  9    2  0.100000E+03
  9    3  0.100000E+03
  9    4  0.316327E+02
  9    5  0.511942E+01
  9    8  0.606070E+01
  9    9  0.795587E+02
  9   10  0.848617E+02
  9   11  0.266377E+01
 10    1  0.100000E+03
 10    2  0.100000E+03
 10    3  0.831010E+02
 10    4  0.309660E+00
 10    6  0.629900E+02
 10    7  0.134348E+02
 10    8  0.722087E+02
 10    9  0.100000E+03
 10   10  0.100000E+03
 10   11  0.335936E+02
 11    1  0.100000E+03
 11    2  0.100000E+03
 11    3  0.887374E+02
 11    4  0.289261E+02
 11    5  0.107546E+02
 11    6  0.886586E+02
 11    7  0.990526E+02
 11    8  0.100000E+03
 11    9  0.100000E+03
 11   10  0.100000E+03
 11   11  0.669440E+02
 12    1  0.100000E+03
 12    2  0.100000E+03
 12    3  0.100000E+03
 12    4  0.100000E+03
 12    5  0.999931E+02
 12    6  0.100000E+03
 12    7  0.100000E+03
 12    8  0.100000E+03
 12    9  0.100000E+03
 12   10  0.100000E+03
 12   11  0.893330E+02
 13    1  0.100000E+03
