          Season       Water     EvNeedl     EvBroad    DecNeedl    DecBroad    MixedFor   ClosShrub   OpenShrub     WoodSav     Savanna   Grassland     Wetland    Cropland       Urban  Crop_NatVeg   Snow_Ice  Bar_SparVeg
z0
               1           0        0.90        1.05        0.90        1.05           1         0.2        0.15        0.15        0.05        0.05        0.05         0.1           1        0.05        0.01        0.04 
               2           0        0.90        1.05        0.90        1.05           1         0.2        0.15        0.15        0.05        0.05        0.05         0.1           1        0.05        0.01        0.04
               3           0        0.90        1.05        0.85        0.95         0.9         0.1         0.1         0.1        0.03        0.03        0.03        0.02           1        0.03        0.01        0.04
               4           0        0.90        1.05        0.55        0.55         0.7         0.1         0.1         0.1        0.01        0.01        0.01        0.01           1        0.01        0.01        0.04
               5           0        0.90        1.05        0.75        0.75         0.8         0.2        0.15        0.15        0.03        0.03        0.03        0.03           1        0.03        0.01        0.04
d
               1           0          15          15          15          15          15           2         1.5         1.5         0.4         0.4         0.4         0.7           0         0.4           0           0
               2           0          15          15          15          15          15           2         1.5         1.5         0.4         0.4         0.4         0.7           0         0.4           0           0
               3           0          15          15           7           7          10           1         0.5         0.5         0.2         0.2         0.2           0           0         0.2           0           0
               4           0          15          15           7           7          10           1         0.5         0.5           0           0           0           0           0           0           0           0
               5           0          15          15          10          10          12           2         1.5         1.5         0.2         0.2         0.2         0.3           0         0.2           0           0
H
                           0          20          20          20          20          20           3           2           2         0.5         0.5         0.5           1           0         0.5           0           0
