EMEP_04x04
--------------------------------------------------------------------
Global distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec  
--------------------------------------------------------------------
  1    1    5    5    5    1    1    1    1    1    1    1    1    2
  2    1    5    5    5    1    1    1    1    1    1    1    1    2
  3    1    5    5    5    1    1    1    1    1    1    1    1    2
  4    1    5    5    5    1    1    1    1    1    1    1    1    2
  5    1    5    5    5    1    1    1    1    1    1    1    1    2
  6    1    5    5    5    1    1    1    1    1    1    1    1    2
  7    1    5    5    5    1    1    1    1    1    1    1    1    2
  8    1    5    5    5    1    1    1    1    1    1    1    1    2
  9    1    5    5    5    1    1    1    1    1    1    1    1    2
 10    1    5    5    5    1    1    1    1    1    1    1    1    2
 11    1    5    5    5    1    1    1    1    1    1    1    1    2
 12    1    5    5    5    1    1    1    1    1    1    1    1    2
 13    1    5    5    5    1    1    1    1    1    1    1    1    2
 14    1    5    5    5    1    1    1    1    1    1    1    1    2
 15    1    5    5    5    1    1    1    1    1    1    1    1    2
 16    1    5    5    5    1    1    1    1    1    1    1    1    2
 17    1    5    5    5    1    1    1    1    1    1    1    1    2
 18    1    5    5    5    1    1    1    1    1    1    1    1    2
 19    1    5    5    5    1    1    1    1    1    1    1    1    2
 20    1    5    5    5    1    1    1    1    1    1    1    1    2
 21    1    5    5    5    1    1    1    1    1    1    1    1    2
 22    1    5    5    5    1    1    1    1    1    1    1    1    2
 23    1    5    5    5    1    1    1    1    1    1    1    1    2
 24    1    5    5    5    1    1    1    1    1    1    1    1    2
 25    1    5    5    5    1    1    1    1    1    1    1    1    2
 26    1    5    5    5    1    1    1    1    1    1    1    1    2
 27    1    5    5    5    1    1    1    1    1    1    1    1    2
 28    1    5    5    5    1    1    1    1    1    1    1    1    2
 29    1    5    5    5    1    1    1    1    1    1    1    1    2
 30    1    5    5    5    1    1    1    1    1    1    1    1    2
 31    1    5    5    5    1    1    1    1    1    1    1    1    2
 32    1    5    5    5    1    1    1    1    1    1    1    1    2
 33    1    5    5    5    1    1    1    1    1    1    1    1    2
 34    1    5    5    5    1    1    1    1    1    1    1    1    2
 35    1    5    5    5    1    1    1    1    1    1    1    1    2
 36    1    5    5    5    1    1    1    1    1    1    1    1    2
