ES_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
  1    1    5    5    5    1    1    1    1    1    1    1    2    3
  2    1    5    5    5    1    1    1    1    1    1    1    2    3
  3    1    5    5    5    1    1    1    1    1    1    1    2    3
  4    1    5    5    5    1    1    1    1    1    1    1    2    3
  5    1    5    5    5    1    1    1    1    1    1    1    2    3
  6    1    5    5    5    1    1    1    1    1    1    1    2    3
  7    1    5    5    5    1    1    1    1    1    1    1    2    3
  8    1    5    5    5    1    1    1    1    1    1    1    2    3
  9    1    5    5    5    1    1    1    1    1    1    1    2    3
 10    1    5    5    5    1    1    1    1    1    1    1    2    3
 11    1    5    5    5    1    1    1    1    1    1    1    2    3
 12    1    5    5    5    1    1    1    1    1    1    1    2    3
 13    1    5    5    5    1    1    1    1    1    1    1    2    3
 14    1    5    5    5    1    1    1    1    1    1    1    2    3
 15    1    5    5    5    1    1    1    1    1    1    1    2    3
 16    1    5    5    5    1    1    1    1    1    1    1    2    3
 17    1    5    5    5    1    1    1    1    1    1    1    2    3
 18    1    5    5    5    1    1    1    1    1    1    1    2    3
 19    1    5    5    5    1    1    1    1    1    1    1    2    3
 20    1    5    5    5    1    1    1    1    1    1    1    2    3
 21    1    5    5    5    1    1    1    1    1    1    1    2    3
 22    1    5    5    5    1    1    1    1    1    1    1    2    3
 23    1    5    5    5    1    1    1    1    1    1    1    2    3
 24    1    5    5    5    1    1    1    1    1    1    1    2    3
 25    1    5    5    5    1    1    1    1    1    1    1    2    3
 26    1    5    5    5    1    1    1    1    1    1    1    2    3
 27    1    5    5    5    1    1    1    1    1    1    1    2    3
 28    1    5    5    5    1    1    1    1    1    1    1    2    3
 29    1    5    5    5    1    1    1    1    1    1    1    2    3
 30    1    5    5    5    1    1    1    1    1    1    1    2    3
 31    1    5    5    5    1    1    1    1    1    1    1    2    3
 32    1    5    5    5    1    1    1    1    1    1    1    2    3
 33    1    5    5    5    1    1    1    1    1    1    1    2    3
 34    1    5    5    5    1    1    1    1    1    1    1    2    3
 35    1    5    5    5    1    1    1    1    1    1    1    2    3
 36    1    5    5    5    1    1    1    1    1    1    1    2    3
 37    1    5    5    5    1    1    1    1    1    1    1    2    3
 38    1    5    5    5    1    1    1    1    1    1    1    2    3
 39    1    5    5    5    1    1    1    1    1    1    1    2    3
 40    1    5    5    5    1    1    1    1    1    1    1    2    3
 41    1    5    5    5    1    1    1    1    1    1    1    2    3
 42    1    5    5    5    1    1    1    1    1    1    1    2    3
 43    1    5    5    5    1    1    1    1    1    1    1    2    3
 44    1    5    5    5    1    1    1    1    1    1    1    2    3
 45    1    5    5    5    1    1    1    1    1    1    1    2    3
 46    1    5    5    5    1    1    1    1    1    1    1    2    3
 47    1    5    5    5    1    1    1    1    1    1    1    2    3
 48    1    5    5    5    1    1    1    1    1    1    1    2    3
 49    1    5    5    5    1    1    1    1    1    1    1    2    3
 50    1    5    5    5    1    1    1    1    1    1    1    2    3
 51    1    5    5    5    1    1    1    1    1    1    1    2    3
 52    1    5    5    5    1    1    1    1    1    1    1    2    3
 53    1    5    5    5    1    1    1    1    1    1    1    2    3
 54    1    5    5    5    1    1    1    1    1    1    1    2    3
 55    1    5    5    5    1    1    1    1    1    1    1    2    3
