GLOB_3x3
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
  1    1    4    4    4    4    4    4    4    4    4    4    4    4
  2    1    4    4    4    4    4    4    4    4    4    4    4    4
  3    1    4    4    4    4    4    4    4    4    4    4    4    4
  4    1    4    4    4    4    4    4    4    4    4    4    4    4
  5    1    4    4    4    4    4    4    4    4    4    4    4    4
  6    1    4    4    4    4    4    4    4    4    4    4    4    4
  7    1    4    4    4    4    4    4    4    4    4    4    4    4
  8    1    4    4    4    4    4    4    4    4    4    4    4    4
  9    1    4    4    4    4    4    4    4    4    4    4    4    4
 10    1    4    4    4    4    4    4    4    4    4    4    4    4
 11    1    4    4    4    4    4    4    4    4    4    4    4    4
 12    1    4    4    4    4    4    4    4    4    4    4    4    4
 13    1    4    4    4    4    4    4    4    4    4    4    4    4
 14    1    4    4    4    4    4    4    4    4    4    4    4    4
 15    1    4    4    4    4    4    4    4    4    4    4    4    4
 16    1    4    4    4    4    4    4    4    4    4    4    4    4
 17    1    4    4    4    4    4    4    4    4    4    4    4    4
 18    1    4    4    4    4    4    4    4    4    4    4    4    4
 19    1    4    4    4    4    4    4    4    4    4    4    4    4
 20    1    4    4    4    4    4    4    4    4    4    4    4    4
 21    1    4    4    4    4    4    4    4    4    4    4    4    4
 22    1    4    4    4    4    4    4    4    4    4    4    4    4
 23    1    4    4    4    4    4    4    4    4    4    4    4    4
 24    1    4    4    4    4    4    4    4    4    4    4    4    4
 25    1    4    4    4    4    4    4    4    4    4    4    4    4
 26    1    4    4    4    4    4    4    4    4    4    4    4    4
 27    1    4    4    4    4    4    4    4    4    4    4    4    4
 28    1    4    4    4    4    4    4    4    4    4    4    4    4
 29    1    4    4    4    4    4    4    4    4    4    4    4    4
 30    1    4    4    4    4    4    4    4    4    4    4    4    4
 31    1    4    4    4    4    4    4    4    4    4    4    4    4
 32    1    4    4    4    4    4    4    4    4    4    4    4    4
 33    1    4    4    4    4    4    4    4    4    4    4    4    4
 34    1    4    4    4    4    4    4    4    4    4    4    4    4
 35    1    4    4    4    4    4    4    4    4    4    4    4    4
 36    1    4    4    4    4    4    4    4    4    4    4    4    4
 37    1    4    4    4    4    4    4    4    4    4    4    4    4
 38    1    4    4    4    4    4    4    4    4    4    4    4    4
 39    1    4    4    4    4    4    4    4    4    4    4    4    4
 40    1    4    4    4    4    4    4    4    4    4    4    4    4
 41    1    4    4    4    4    4    4    4    4    4    4    4    4
 42    1    4    4    4    4    4    4    4    4    4    4    4    4
 43    1    4    4    4    4    4    4    4    4    4    4    4    4
 44    1    4    4    4    4    4    4    4    4    4    4    4    4
 45    1    4    4    4    4    4    4    4    4    4    4    4    4
 46    1    4    4    4    4    4    4    4    4    4    4    4    4
 47    1    4    4    4    4    4    4    4    4    4    4    4    4
 48    1    4    4    4    4    4    4    4    4    4    4    4    4
 49    1    4    4    4    4    4    4    4    4    4    4    4    4
 50    1    4    4    4    4    4    4    4    4    4    4    4    4
 51    1    4    4    4    4    4    4    4    4    4    4    4    4
 52    1    4    4    4    4    4    4    4    4    4    4    4    4
 53    1    4    4    4    4    4    4    4    4    4    4    4    4
 54    1    4    4    4    4    4    4    4    4    4    4    4    4
 55    1    4    4    4    4    4    4    4    4    4    4    4    4
 56    1    4    4    4    4    4    4    4    4    4    4    4    4
 57    1    4    4    4    4    4    4    4    4    4    4    4    4
 58    1    4    4    4    4    4    4    4    4    4    4    4    4
 59    1    4    4    4    4    4    4    4    4    4    4    4    4
 60    1    4    4    4    4    4    4    4    4    4    4    4    4
 61    1    4    4    4    4    4    4    4    4    4    4    4    4
 62    1    4    4    4    4    4    4    4    4    4    4    4    4
 63    1    4    4    4    4    4    4    4    4    4    4    4    4
 64    1    4    4    4    4    4    4    4    4    4    4    4    4
 65    1    4    4    4    4    4    4    4    4    4    4    4    4
 66    1    4    4    4    4    4    4    4    4    4    4    4    4
 67    1    4    4    4    4    4    4    4    4    4    4    4    4
 68    1    4    4    4    4    4    4    4    4    4    4    4    4
 69    1    4    4    4    4    4    4    4    4    4    4    4    4
 70    1    4    4    4    4    4    4    4    4    4    4    4    4
 71    1    4    4    4    4    4    4    4    4    4    4    4    4
 72    1    4    4    4    4    4    4    4    4    4    4    4    4
 73    1    4    4    4    4    4    4    4    4    4    4    4    4
 74    1    4    4    4    4    4    4    4    4    4    4    4    4
