HR_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
  1    1    4    4    5    5    1    1    1    1    1    1    3    3
  2    1    4    4    5    5    1    1    1    1    1    1    3    3
  3    1    4    4    5    5    1    1    1    1    1    1    3    3
  4    1    4    4    5    5    1    1    1    1    1    1    3    3
  5    1    4    4    5    5    1    1    1    1    1    1    3    3
  6    1    4    4    5    5    1    1    1    1    1    1    3    3
  7    1    4    4    5    5    1    1    1    1    1    1    3    3
  8    1    4    4    5    5    1    1    1    1    1    1    3    3
  9    1    4    4    5    5    1    1    1    1    1    1    3    3
 10    1    4    4    5    5    1    1    1    1    1    1    3    3
 11    1    4    4    5    5    1    1    1    1    1    1    3    3
 12    1    4    4    5    5    1    1    1    1    1    1    3    3
 13    1    4    4    5    5    1    1    1    1    1    1    3    3
 14    1    4    4    5    5    1    1    1    1    1    1    3    3
 15    1    4    4    5    5    1    1    1    1    1    1    3    3
 16    1    4    4    5    5    1    1    1    1    1    1    3    3
 17    1    4    4    5    5    1    1    1    1    1    1    3    3
 18    1    4    4    5    5    1    1    1    1    1    1    3    3
 19    1    4    4    5    5    1    1    1    1    1    1    3    3
 20    1    4    4    5    5    1    1    1    1    1    1    3    3
 21    1    4    4    5    5    1    1    1    1    1    1    3    3
 22    1    4    4    5    5    1    1    1    1    1    1    3    3
 23    1    4    4    5    5    1    1    1    1    1    1    3    3
 24    1    4    4    5    5    1    1    1    1    1    1    3    3
 25    1    4    4    5    5    1    1    1    1    1    1    3    3
 26    1    4    4    5    5    1    1    1    1    1    1    3    3
 27    1    4    4    5    5    1    1    1    1    1    1    3    3
 28    1    4    4    5    5    1    1    1    1    1    1    3    3
 29    1    4    4    5    5    1    1    1    1    1    1    3    3
 30    1    4    4    5    5    1    1    1    1    1    1    3    3
 31    1    4    4    5    5    1    1    1    1    1    1    3    3
 32    1    4    4    5    5    1    1    1    1    1    1    3    3
 33    1    4    4    5    5    1    1    1    1    1    1    3    3
 34    1    4    4    5    5    1    1    1    1    1    1    3    3
 35    1    4    4    5    5    1    1    1    1    1    1    3    3
 36    1    4    4    5    5    1    1    1    1    1    1    3    3
 37    1    4    4    5    5    1    1    1    1    1    1    3    3
 38    1    4    4    5    5    1    1    1    1    1    1    3    3
