PLN_01x01
--------------------------------------------------------------------
Spatial distribution of season types
1 - Summer
2 - Early fall
3 - Late fall
4 - Winter
5 - Spring
--------------------------------------------------------------------
  i    j  Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
  1    1    4    4    5    5    1    1    1    1    1    2    3    4
  2    1    4    4    5    5    1    1    1    1    1    2    3    4
  3    1    4    4    5    5    1    1    1    1    1    2    3    4
  4    1    4    4    5    5    1    1    1    1    1    2    3    4
  5    1    4    4    5    5    1    1    1    1    1    2    3    4
  6    1    4    4    5    5    1    1    1    1    1    2    3    4
  7    1    4    4    5    5    1    1    1    1    1    2    3    4
  8    1    4    4    5    5    1    1    1    1    1    2    3    4
  9    1    4    4    5    5    1    1    1    1    1    2    3    4
 10    1    4    4    5    5    1    1    1    1    1    2    3    4
 11    1    4    4    5    5    1    1    1    1    1    2    3    4
 12    1    4    4    5    5    1    1    1    1    1    2    3    4
 13    1    4    4    5    5    1    1    1    1    1    2    3    4
 14    1    4    4    5    5    1    1    1    1    1    2    3    4
 15    1    4    4    5    5    1    1    1    1    1    2    3    4
 16    1    4    4    5    5    1    1    1    1    1    2    3    4
 17    1    4    4    5    5    1    1    1    1    1    2    3    4
 18    1    4    4    5    5    1    1    1    1    1    2    3    4
 19    1    4    4    5    5    1    1    1    1    1    2    3    4
 20    1    4    4    5    5    1    1    1    1    1    2    3    4
 21    1    4    4    5    5    1    1    1    1    1    2    3    4
 22    1    4    4    5    5    1    1    1    1    1    2    3    4
 23    1    4    4    5    5    1    1    1    1    1    2    3    4
 24    1    4    4    5    5    1    1    1    1    1    2    3    4
 25    1    4    4    5    5    1    1    1    1    1    2    3    4
 26    1    4    4    5    5    1    1    1    1    1    2    3    4
 27    1    4    4    5    5    1    1    1    1    1    2    3    4
 28    1    4    4    5    5    1    1    1    1    1    2    3    4
 29    1    4    4    5    5    1    1    1    1    1    2    3    4
 30    1    4    4    5    5    1    1    1    1    1    2    3    4
 31    1    4    4    5    5    1    1    1    1    1    2    3    4
 32    1    4    4    5    5    1    1    1    1    1    2    3    4
 33    1    4    4    5    5    1    1    1    1    1    2    3    4
 34    1    4    4    5    5    1    1    1    1    1    2    3    4
 35    1    4    4    5    5    1    1    1    1    1    2    3    4
 36    1    4    4    5    5    1    1    1    1    1    2    3    4
 37    1    4    4    5    5    1    1    1    1    1    2    3    4
 38    1    4    4    5    5    1    1    1    1    1    2    3    4
 39    1    4    4    5    5    1    1    1    1    1    2    3    4
 40    1    4    4    5    5    1    1    1    1    1    2    3    4
 41    1    4    4    5    5    1    1    1    1    1    2    3    4
 42    1    4    4    5    5    1    1    1    1    1    2    3    4
 43    1    4    4    5    5    1    1    1    1    1    2    3    4
 44    1    4    4    5    5    1    1    1    1    1    2    3    4
 45    1    4    4    5    5    1    1    1    1    1    2    3    4
 46    1    4    4    5    5    1    1    1    1    1    2    3    4
 47    1    4    4    5    5    1    1    1    1    1    2    3    4
 48    1    4    4    5    5    1    1    1    1    1    2    3    4
 49    1    4    4    5    5    1    1    1    1    1    2    3    4
 50    1    4    4    5    5    1    1    1    1    1    2    3    4
 51    1    4    4    5    5    1    1    1    1    1    2    3    4
 52    1    4    4    5    5    1    1    1    1    1    2    3    4
 53    1    4    4    5    5    1    1    1    1    1    2    3    4
 54    1    4    4    5    5    1    1    1    1    1    2    3    4
 55    1    4    4    5    5    1    1    1    1    1    2    3    4
 56    1    4    4    5    5    1    1    1    1    1    2    3    4
 57    1    4    4    5    5    1    1    1    1    1    2    3    4
 58    1    4    4    5    5    1    1    1    1    1    2    3    4
 59    1    4    4    5    5    1    1    1    1    1    2    3    4
 60    1    4    4    5    5    1    1    1    1    1    2    3    4
 61    1    4    4    5    5    1    1    1    1    1    2    3    4
 62    1    4    4    5    5    1    1    1    1    1    2    3    4
 63    1    4    4    5    5    1    1    1    1    1    2    3    4
 64    1    4    4    5    5    1    1    1    1    1    2    3    4
 65    1    4    4    5    5    1    1    1    1    1    2    3    4
 66    1    4    4    5    5    1    1    1    1    1    2    3    4
 67    1    4    4    5    5    1    1    1    1    1    2    3    4
 68    1    4    4    5    5    1    1    1    1    1    2    3    4
 69    1    4    4    5    5    1    1    1    1    1    2    3    4
 70    1    4    4    5    5    1    1    1    1    1    2    3    4
 71    1    4    4    5    5    1    1    1    1    1    2    3    4
 72    1    4    4    5    5    1    1    1    1    1    2    3    4
 73    1    4    4    5    5    1    1    1    1    1    2    3    4
 74    1    4    4    5    5    1    1    1    1    1    2    3    4
 75    1    4    4    5    5    1    1    1    1    1    2    3    4
 76    1    4    4    5    5    1    1    1    1    1    2    3    4
 77    1    4    4    5    5    1    1    1    1    1    2    3    4
 78    1    4    4    5    5    1    1    1    1    1    2    3    4
 79    1    4    4    5    5    1    1    1    1    1    2    3    4
 80    1    4    4    5    5    1    1    1    1    1    2    3    4
 81    1    4    4    5    5    1    1    1    1    1    2    3    4
 82    1    4    4    5    5    1    1    1    1    1    2    3    4
 83    1    4    4    5    5    1    1    1    1    1    2    3    4
 84    1    4    4    5    5    1    1    1    1    1    2    3    4
 85    1    4    4    5    5    1    1    1    1    1    2    3    4
 86    1    4    4    5    5    1    1    1    1    1    2    3    4
 87    1    4    4    5    5    1    1    1    1    1    2    3    4
 88    1    4    4    5    5    1    1    1    1    1    2    3    4
 89    1    4    4    5    5    1    1    1    1    1    2    3    4
 90    1    4    4    5    5    1    1    1    1    1    2    3    4
 91    1    4    4    5    5    1    1    1    1    1    2    3    4
 92    1    4    4    5    5    1    1    1    1    1    2    3    4
 93    1    4    4    5    5    1    1    1    1    1    2    3    4
 94    1    4    4    5    5    1    1    1    1    1    2    3    4
 95    1    4    4    5    5    1    1    1    1    1    2    3    4
