Station              Index          lat          lon          type
------------------------------      ----------------------    ---------------------------------
Houtem               BE0013R        51.25        3.35         ap
Kosetice             CZ0003R        49.57339     15.080278    ap
Westerland           DE0001R        54.92556     8.309722     ap
Waldhof              DE0002R        52.80222     10.759444    ap
Schauinsland         DE0003R        47.91472     7.908611     ap
Schmucke             DE0008R        50.65        10.766667    ap
Zingst               DE0009R        54.43333     12.733333    ap
Lahemaa              EE0009R        59.5         25.9         ap
San_Pablo            ES0001R        39.54778     -4.348611    ap
Viznar               ES0007R        37.23333     -3.533333    ap
Niembro              ES0008R        43.44222     -4.850278    ap
Zarra                ES0012R        39.08278     -1.10111     ap
ElTorms              ES0014R        41.4         0.716667     ap
Donon                FR0008R        48.5         7.133333     ap
Revin                FR0009R        49.9         4.633333     ap
Peyrusse_Vieille     FR0013R        43.61667     0.183333     ap
Saint-Nazaire        FR0023R        44.56944     5.278972     ap
Guipry               FR0024R        47.83189     -1.83633     ap
Verneuil             FR0025R        46.81473     2.610008     ap
Virolahti_III        FI0018R        60.53002     27.66754     ap
Pallas_Matorova      FI0036R        68           24.24        ap
Hyytiala             FI0050R        61.85        24.283333    ap
High_Muffles         GB0014R        54.334444    -0.8075      ap
Auchencorth_Moss     GB0048R        55.79216     -3.2429      ap
Chilbolton           GB1055R        51.149617    -1.438228    ap
Funtijarka           HR0002R        45.9         15.966667    ap
Rucava               LV0010R        56.16194     21.173056    ap
De_Zilk              NL0091R        52.3         4.5          ap
Birkenes2            NO0002R        58.38853     8.252        ap
Zeppelin_(Ny_Alesund) NO0042G        78.90667     11.888333    ap
Diabla_Gora          PL0005R        54.15        22.066667    ap
Zielonka             PL0009R        53.66212     17.934017    ap
Rao                  SE0014R        57.394       11.914       ap
Hallahus             SE0020R        56.0429      13.148       ap
Norunda              SE0022R        60.0858      17.50528     ap
Iskrba               SI0008R        45.56667     14.866667    ap
Albania              AL0203A        40.6259      20.7802      ap
Albania              AL0204A        40.4031      19.4862      ap
Albania              AL0205A        41.3199      19.4492      ap
Albania              AL0206A        42.3139      19.5234      ap
Albania              AL0207A        41.111       20.0817      ap
Andorra              AD0942A        42.5097      1.5391       ap
Austria              AT0ILL1        47.7703      16.7664      ap
Austria              AT0SON1        47.0542      12.9583      ap
Austria              AT0VOR1        46.6775      12.972       ap
Austria              AT10001        47.8401      16.5262      ap
Austria              AT20444        46.5542      13.7015      ap
Austria              AT2KA21        46.6256      14.3181      ap
Austria              AT2M226        46.6101      14.3983      ap
Austria              AT2VI12        46.6125      13.8414      ap
Austria              AT2VK01        46.6628      14.6323      ap
Austria              AT2WO15        46.835       14.8436      ap
Austria              AT30502        48.8786      15.0467      ap
Austria              AT30902        48.3853      16.1822      ap
Austria              AT31401        48.0861      16.3022      ap
Austria              AT31402        48.1247      16.3315      ap
Austria              AT32302        48.2013      15.6204      ap
Austria              AT32604        48.0451      14.7723      ap
Austria              AT32701        48.145       16.4744      ap
Austria              AT4S156        48.2575      13.0392      ap
Austria              AT4S173        48.2797      14.3665      ap
Austria              AT4S184        48.3061      14.2975      ap
Austria              AT4S217        48.2094      14.4369      ap
Austria              AT4S406        48.1649      14.0366      ap
Austria              AT4S409        48.0494      14.4428      ap
Austria              AT4S415        48.3233      14.2978      ap
Austria              AT4S416        48.2744      14.3147      ap
Austria              AT4S431        48.3028      14.2828      ap
Austria              AT51000        47.7975      13.0536      ap
Austria              AT51066        47.8056      13.0433      ap
Austria              AT52000        47.6831      13.1         ap
Austria              AT55018        47.1541      13.5051      ap
Austria              AT60119        47.2104      14.8253      ap
Austria              AT60142        47.3756      15.0745      ap
Austria              AT60164        47.0556      15.4166      ap
Austria              AT60170        47.0417      15.4331      ap
Austria              AT60172        47.0692      15.4319      ap
Austria              AT60197        46.7783      15.5406      ap
Austria              AT72106        47.2713      11.4169      ap
Austria              AT72110        47.2626      11.3924      ap
Austria              AT72519        47.4286      11.8718      ap
Austria              AT72821        47.3488      11.692       ap
Austria              AT72822        47.35        11.6945      ap
Austria              AT72910        46.8277      12.7656      ap
Austria              AT80706        47.4102      9.6537       ap
Austria              AT81919        47.2394      9.5977       ap
Austria              AT90A23        48.2031      16.4346      ap
Austria              AT90AKC        48.2191      16.3498      ap
Austria              AT90MBA        48.1884      16.3         ap
Austria              AT90TAB        48.2167      16.3809      ap
Belgium              BEMAND1        50.4972      5.042        ap
Belgium              BEMATH1        50.6351      3.7752       ap
Belgium              BEMBE01        51.324       4.8213       ap
Belgium              BEMBE02        51.3321      4.8028       ap
Belgium              BEMBE07        51.3251      4.8217       ap
Belgium              BEMCHA1        50.4093      4.4522       ap
Belgium              BEMCHA2        50.429       4.4587       ap
Belgium              BEMENG1        50.5836      5.3974       ap
Belgium              BEMGK05        50.9405      5.5268       ap
Belgium              BEMGK11        50.9316      5.5204       ap
Belgium              BEMGN05        51.0265      3.7159       ap
Belgium              BEMH201        50.625       5.5475       ap
Belgium              BEMHB17        51.1703      4.3379       ap
Belgium              BEMHB18        51.1739      4.3441       ap
Belgium              BEMHB23        51.1703      4.341        ap
Belgium              BEMJMP1        50.6207      5.5164       ap
Belgium              BEMKK01        51.1209      2.6585       ap
Belgium              BEMM522        50.4651      3.939        ap
Belgium              BEMN060        50.6167      3.4576       ap
Belgium              BEMN063        50.6554      4.6683       ap
Belgium              BEMN085        50.3032      6.0017       ap
Belgium              BEMN093        50.2745      5.2352       ap
Belgium              BEMN100        50.0957      4.5948       ap
Belgium              BEMN132        49.719       5.6303       ap
Belgium              BEMNM01        50.4632      4.8724       ap
Belgium              BEMR221        50.6584      5.6278       ap
Belgium              BEMR750        51.1961      3.8229       ap
Belgium              BEMR802        51.2097      4.4318       ap
Belgium              BEPAL05        51.2631      4.2789       ap
Belgium              BEPGI04        50.9352      4.4022       ap
Belgium              BEPGK32        50.9415      5.5117       ap
Belgium              BEPN029        51.0163      2.5823       ap
Belgium              BEPN060        50.6167      3.4576       ap
Belgium              BEPN063        50.6554      4.6683       ap
Belgium              BEPN085        50.3032      6.0017       ap
Belgium              BEPN093        50.2745      5.2352       ap
Belgium              BEPN100        50.0957      4.5948       ap
Belgium              BEPN121        49.8771      5.2024       ap
Belgium              BEPN132        49.7193      5.6304       ap
Belgium              BEPNT02        50.5111      6.0738       ap
Belgium              BEPNT07        50.5079      3.591        ap
Belgium              BEPR222        50.6134      5.5702       ap
Belgium              BEPR511        50.3776      4.4247       ap
Belgium              BEPR701        51.0583      3.7293       ap
Belgium              BEPR740        51.1501      3.8087       ap
Belgium              BEPR750        51.1961      3.8229       ap
Belgium              BEPR802        51.2097      4.4318       ap
Belgium              BETB001        50.8458      4.3681       ap
Belgium              BETB004        50.8521      4.3478       ap
Belgium              BETN043        50.8837      4.383        ap
Belgium              BETN060        50.6167      3.4576       ap
Belgium              BETN063        50.6554      4.6683       ap
Belgium              BETN070        50.4652      3.9397       ap
Belgium              BETN085        50.3032      6.0017       ap
Belgium              BETN132        49.7193      5.6304       ap
Belgium              BETR001        50.8497      4.3341       ap
Belgium              BETR002        50.8251      4.3846       ap
Belgium              BETR020        50.9414      4.4367       ap
Belgium              BETR222        50.6134      5.5702       ap
Belgium              BETR223        50.6207      5.5164       ap
Belgium              BETR501        50.4093      4.4522       ap
Belgium              BETR512        50.4078      4.3959       ap
Belgium              BETR701        51.0583      3.7293       ap
Belgium              BETR750        51.1961      3.8229       ap
Belgium              BETR802        51.2095      4.4318       ap
Belgium              BETWOL1        50.8567      4.4258       ap
Bosnia_Herzegovina   BA0029A        43.8675      18.4231      ap
Bosnia_Herzegovina   BA0031A        44.5406      18.6733      ap
Bosnia_Herzegovina   BA0041A        43.6616      18.9775      ap
Bosnia_Herzegovina   BA0045A        44.5332      18.5347      ap
Bosnia_Herzegovina   BA0046A        44.4541      18.6485      ap
Bosnia_Herzegovina   BA0047A        45.07        17.59        ap
