Station                   Index        lat          lon          type
-----------------------------------    ----------------------    ---------------------------------
Houtem                    BE0013R      51.25        3.35         ap
Kosetice                  CZ0003R      49.57339     15.080278    ap
Westerland                DE0001R      54.92556     8.309722     ap
Waldhof                   DE0002R      52.80222     10.759444    ap
Schauinsland              DE0003R      47.91472     7.908611     ap
Schmucke                  DE0008R      50.65        10.766667    ap
Zingst                    DE0009R      54.43333     12.733333    ap
Lahemaa                   EE0009R      59.5         25.9         ap
San_Pablo                 ES0001R      39.54778     -4.348611    ap
Viznar                    ES0007R      37.23333     -3.533333    ap
Niembro                   ES0008R      43.44222     -4.850278    ap
Zarra                     ES0012R      39.08278     -1.10111     ap
ElTorms                   ES0014R      41.4         0.716667     ap
Donon                     FR0008R      48.5         7.133333     ap
Revin                     FR0009R      49.9         4.633333     ap
Peyrusse_Vieille          FR0013R      43.61667     0.183333     ap
Saint-Nazaire             FR0023R      44.56944     5.278972     ap
Guipry                    FR0024R      47.83189     -1.83633     ap
Verneuil                  FR0025R      46.81473     2.610008     ap
Virolahti_III             FI0018R      60.53002     27.66754     ap
Pallas_Matorova           FI0036R      68           24.24        ap
Hyytiala                  FI0050R      61.85        24.283333    ap
High_Muffles              GB0014R      54.334444    -0.8075      ap
Auchencorth_Moss          GB0048R      55.79216     -3.2429      ap
Chilbolton                GB1055R      51.149617    -1.438228    ap
Funtijarka                HR0002R      45.9         15.966667    ap
Rucava                    LV0010R      56.16194     21.173056    ap
De_Zilk                   NL0091R      52.3         4.5          ap
Birkenes2                 NO0002R      58.38853     8.252        ap
Zeppelin_(Ny_Alesund)     NO0042G      78.90667     11.888333    ap
Diabla_Gora               PL0005R      54.15        22.066667    ap
Zielonka                  PL0009R      53.66212     17.934017    ap
Rao                       SE0014R      57.394       11.914       ap
Hallahus                  SE0020R      56.0429      13.148       ap
Norunda                   SE0022R      60.0858      17.50528     ap
Iskrba                    SI0008R      45.56667     14.866667    ap
Andorra                   AD0942A      42.5097      1.5391       ap
Albania                   AL0203A      40.6259      20.7802      ap
Albania                   AL0204A      40.4031      19.4862      ap
Albania                   AL0205A      41.3199      19.4492      ap
Albania                   AL0206A      42.3139      19.5234      ap
Albania                   AL0207A      41.111       20.0817      ap
Austria                   AT0ENK1      48.3917      13.6709      ap
Austria                   AT0ILL1      47.7703      16.7664      ap
Austria                   AT0KLH1      46.7672      15.9563      ap
Austria                   AT0PIL1      48.7212      15.936       ap
Austria                   AT0SON1      47.0542      12.9583      ap
Austria                   AT0VOR1      46.6775      12.972       ap
Austria                   AT0ZOE2      47.8383      14.441       ap
Austria                   AT10001      47.8401      16.5262      ap
Austria                   AT10002      47.3399      16.2079      ap
Austria                   AT10003      48.1092      17.0703      ap
Austria                   AT10035      46.942       16.1483      ap
Austria                   AT11007      47.4653      16.6472      ap
Austria                   AT2F202      46.8428      14.53        ap
Austria                   AT2KA21      46.6256      14.3181      ap
Austria                   AT2KA71      46.6266      14.2991      ap
Austria                   AT2M121      46.5584      13.7035      ap
Austria                   AT2M226      46.6101      14.3983      ap
Austria                   AT2SP10      46.935       13.1945      ap
Austria                   AT2SP18      46.8014      13.4939      ap
Austria                   AT2VI12      46.6125      13.8414      ap
Austria                   AT2VK01      46.6628      14.6323      ap
Austria                   AT2WO15      46.835       14.8436      ap
Austria                   AT2WO25      46.7639      14.8222      ap
Austria                   AT2WO35      46.7083      14.8917      ap
Austria                   AT30101      48.1203      14.8783      ap
Austria                   AT30201      47.9592      16.2057      ap
Austria                   AT30301      48.1442      16.9579      ap
Austria                   AT30302      48.0503      16.6753      ap
Austria                   AT30401      48.3347      16.7294      ap
Austria                   AT30502      48.8786      15.0467      ap
Austria                   AT30599      48.3082      16.3279      ap
Austria                   AT30603      48.0857      16.4311      ap
Austria                   AT30701      48.5283      15.9419      ap
Austria                   AT30902      48.3853      16.1822      ap
Austria                   AT31301      48.5783      16.5788      ap
Austria                   AT31401      48.0861      16.3022      ap
Austria                   AT31402      48.1247      16.3315      ap
Austria                   AT31406      48.0833      16.3372      ap
Austria                   AT31413      48.0843      16.329       ap
Austria                   AT31703      48.3533      15.7469      ap
Austria                   AT31901      48.3294      16.0625      ap
Austria                   AT31904      48.2764      15.935       ap
Austria                   AT32301      48.2116      15.6325      ap
Austria                   AT32302      48.2013      15.6204      ap
Austria                   AT32401      47.8142      16.255       ap
Austria                   AT32501      48.4086      15.6192      ap
Austria                   AT32604      48.0451      14.7723      ap
Austria                   AT32701      48.145       16.4744      ap
Austria                   AT32702      48.145       16.5111      ap
Austria                   AT4S108      48.5311      14.5747      ap
Austria                   AT4S125      47.7161      13.6322      ap
Austria                   AT4S156      48.2575      13.0392      ap
Austria                   AT4S173      48.2797      14.3665      ap
Austria                   AT4S184      48.3061      14.2975      ap
Austria                   AT4S217      48.2094      14.4369      ap
Austria                   AT4S245      47.9741      13.615       ap
Austria                   AT4S404      48.2253      14.2376      ap
Austria                   AT4S406      48.1649      14.0366      ap
Austria                   AT4S407      48.0008      13.6675      ap
Austria                   AT4S409      48.0494      14.4428      ap
Austria                   AT4S415      48.3233      14.2978      ap
Austria                   AT4S416      48.2733      14.3148      ap
Austria                   AT4S431      48.303       14.2822      ap
Austria                   AT51000      47.7975      13.0536      ap
Austria                   AT51066      47.8056      13.0433      ap
Austria                   AT51200      47.8156      13.0349      ap
Austria                   AT52000      47.6831      13.1         ap
Austria                   AT52300      47.6913      13.1082      ap
Austria                   AT55018      47.1541      13.5051      ap
Austria                   AT55032      47.1258      13.8083      ap
Austria                   AT60036      47.067       15.4937      ap
Austria                   AT60106      47.0633      15.0867      ap
Austria                   AT60107      47.0447      15.1528      ap
Austria                   AT60114      47.1925      14.7533      ap
Austria                   AT60118      47.1783      14.6767      ap
Austria                   AT60119      47.2104      14.8253      ap
Austria                   AT60136      47.1203      15.3511      ap
Austria                   AT60138      47.0944      15.4151      ap
Austria                   AT60139      47.0694      15.4044      ap
Austria                   AT60141      47.3589      15.1036      ap
Austria                   AT60142      47.3756      15.0745      ap
Austria                   AT60143      47.3823      15.0889      ap
Austria                   AT60145      47.4458      15.2903      ap
Austria                   AT60151      46.8714      15.4958      ap
Austria                   AT60156      47.3481      15.8822      ap
Austria                   AT60164      47.0556      15.4166      ap
Austria                   AT60170      47.0417      15.4331      ap
Austria                   AT60171      47.0595      15.4667      ap
Austria                   AT60172      47.0692      15.4319      ap
Austria                   AT60177      47.5654      14.2447      ap
Austria                   AT60178      47.2157      15.6284      ap
Austria                   AT60179      47.2829      15.9719      ap
Austria                   AT60180      47.4094      15.2533      ap
Austria                   AT60183      47.2064      15.3458      ap
Austria                   AT60191      47.1357      15.3232      ap
Austria                   AT60194      47.6047      15.6731      ap
Austria                   AT60195      46.8139      15.2128      ap
Austria                   AT60197      46.7783      15.5406      ap
Austria                   AT60198      47.0473      16.0791      ap
Austria                   AT72106      47.2713      11.4169      ap
Austria                   AT72110      47.2626      11.3924      ap
Austria                   AT72223      47.2396      11.3907      ap
Austria                   AT72227      47.2781      11.5125      ap
Austria                   AT72315      47.2169      10.7357      ap
Austria                   AT72519      47.4286      11.8718      ap
Austria                   AT72530      47.4886      12.0666      ap
Austria                   AT72552      47.5818      12.1724      ap
Austria                   AT72710      47.4476      10.7441      ap
Austria                   AT72821      47.3488      11.692       ap
Austria                   AT72822      47.35        11.6945      ap
Austria                   AT72910      46.8277      12.7656      ap
Austria                   AT80706      47.4102      9.6537       ap
Austria                   AT80709      47.4597      9.6406       ap
Austria                   AT80710      47.4325      9.6505       ap
Austria                   AT80807      47.41        9.7434       ap
Austria                   AT81919      47.2394      9.5977       ap
Austria                   AT82708      47.1565      9.8229       ap
Austria                   AT900KE      48.1567      16.4761      ap
Austria                   AT90A23      48.2031      16.4346      ap
Austria                   AT90AKC      48.2191      16.3498      ap
Austria                   AT90FLO      48.2611      16.397       ap
