Station           Index       lat          lon            type
---------------------------   -----------  ------------   ---------------------------------
Illmitz           AT0002R     47.76667     16.76666       ap
St_Koloman        AT0004R     47.65        13.2           ap
Vorhegg           AT0005R     46.67778     12.972222      ap
Zoebelboden       AT0048R     47.83861     14.441389      ap
Knokke            BE0004R     51.36        3.333333       ap
Koksijde          BE0014R     51.12145     2.657322       ap
Ayia_Marina       CY0002R     35.03916     33.058056      ap
Svratouch         CZ0001R     49.73333     16.05          ap
Kosetice          CZ0003R     49.57339     15.080278      ap
Churanov          CZ0005R     49.06667     13.6           ap
Westerland        DE0001R     54.92556     8.309722       ap
Waldhof           DE0002R     52.80222     10.759444      ap
Schauinsland      DE0003R     47.91472     7.908611       ap
Deuselbach        DE0004R     49.76472     7.051944       ap
Brotjacklriegel   DE0005R     48.81944     13.219167      ap
Neuglobsow        DE0007R     53.16667     13.033333      ap
Schmucke          DE0008R     50.65        10.766667      ap
Zingst            DE0009R     54.43333     12.733333      ap
Tange             DK0003R     56.35        9.6            ap
Keldsnor          DK0005R     54.73333     10.733333      ap
Anholt            DK0008R     56.71667     11.516667      ap
Station_Nord      DK0010G     81.6         -16.67         ap
Risoe             DK0012R     55.69359     12.085797      ap
Sepstrup_Sande    DK0022R     55.08333     9.6            ap
Ulborg            DK0031R     56.28333     8.433333       ap
Lahemaa           EE0009R     59.5         25.9           ap
Vilsandi          EE0011R     58.38333     21.816667      ap
San_Pablo         ES0001R     39.54778     -4.348611      ap
Mah?n             ES0006R     39.87528     4.31639        ap
Viznar            ES0007R     37.23333     -3.533333      ap
Niembro           ES0008R     43.44222     -4.850278      ap
Campisabalos      ES0009R     41.28111     -3.142778      ap
Cabo_de_Creus     ES0010R     42.31917     3.31583        ap
Barcarrota        ES0011R     38.47278     -6.92361       ap
Zarra             ES0012R     39.08278     -1.10111       ap
Penausende        ES0013R     41.23889     -5.8975        ap
ElTorms           ES0014R     41.4         0.716667       ap
O_Savi?ao         ES0016R     42.63472     -7.70472       ap
Montseny          ES1778R     41.76667     2.35           ap
Revin             FR0009R     49.9         4.633333       ap
Peyrusse_Vieille  FR0013R     43.61667     0.183333       ap
Saint-Nazaire     FR0023R     44.56944     5.278972       ap
Guipry            FR0024R     47.83189     -1.83633       ap
Verneuil          FR0025R     46.81473     2.610008       ap
Porspoder         FR0090R     48.51667     -4.75          ap
Virolahti_II      FI0017R     60.53        27.69          ap
Virolahti3        FI0018R     60.53002     27.66754       ap
Pallas_Matorova   FI0036R     68           24.24          ap
Ahtari2           FI0037R     62.58333     24.183333      ap
Hyytiala          FI0050R     61.85        24.28          ap
Hailuoto2         FI0053R     65           24.694167      ap
Hietajarvi        FI0092R     63.16667     30.716667      ap
Kotinen           FI0093R     61.23        25.07          ap
Lough_Navar       GB0006R     54.44306     -7.87          ap
Yarner_Wood       GB0013R     50.6         -3.71          ap
Heigham_Holmes    GB0017R     52.72        1.62           ap
Harwell           GB0036R     51.57306     -1.316667      ap
Auchencorth_Moss  GB0048R     55.79216     -3.2429        ap
East_Ruston       GB0090R     52.8         1.466667       ap
Banchory          GB0091R     57.08        -2.53          ap
Chillerton        GB0092R     50.7         -1.3           ap
Staxton_Wold      GB0093R     54.18333     -0.433333      ap
Chilbolton_Obs    GB1055R     51.14962     -1.438228      ap
K-puszta          HU0002R     46.96667     19.583333      ap
Preila            LT0015R     55.37611     21.030555      ap
Rucava            LV0010R     56.16194     21.173056      ap
Zoseni            LV0016R     57.13528     25.905556      ap
Aluksne           LV1000      57.44        27.04          ap
Dobele            LV2000R     56.62        23.32          ap
Skriveri          LV5000R     56.64        25.13          ap
Riga              LV6000R     56.95        24.1           ap
Mace_Head         IE0031R     53.33        -9.9           ap
Reykjavik         IS0090R     64.13333     -21.9          ap
Storhofdi         IS0091R     63.4         -20.28         ap
Monte_Martano     IT0019R     42.81        12.57          ap
Bilthoven         NL0008R     52.11667     5.2            ap
Kollumerwaard     NL0009R     53.33389     6.277222       ap
Vredepeel         NL0010R     51.54111     5.853611       ap
De_Zilk           NL0091R     52.3         4.5            ap
Birkenes          NO0001R     58.38333     8.25           ap
Birkenes2         NO0002R     58.38853     8.252          ap
Karvatn           NO0039R     62.78333     8.883333       ap
Zeppelin          NO0042G     78.90667     11.888333      ap
Hurdal            NO0056R     60.37239     11.078142      ap
Andoya            NO0090R     69.27833     16.011666      ap
Karpdalen         NO0098R     69.65        30.43          ap
Lista             NO0099R     58.1         6.566667       ap
Leba              PL0004R     54.75        17.533333      ap
Diabla_Gora       PL0005R     54.15        22.066667      ap
Zielonka          PL0009R     53.66212     17.934017      ap
Poiana_Stampei    RO0008R     47.32479     25.134664      ap
Rorvik            SE0002R     57.42        11.94          ap
Bredkalen         SE0005R     63.85        15.333333      ap
Vavihill          SE0011R     56.01667     13.15          ap
Aspvreten         SE0012R     58.8         17.383333      ap
Rao               SE0014R     57.394       11.914         ap
Hallahus          SE0020R     56.0429      13.148         ap
Iskrba            SI0008R     45.56667     14.866667      ap
Chopok            SK0002R     48.93333     19.583333      ap
Stara_Lesna       SK0004R     49.15        20.283333      ap
Liesek            SK0005R     49.36667     19.683333      ap
Starina           SK0006R     49.05        22.266667      ap
Topolniky         SK0007R     47.96        17.860556      ap
Cubuk_II          TR0001R     40.5         33             ap
Austria           AT4S184     48.3061      14.2975        ap
Austria           AT4S416     48.2744      14.3147        ap
Austria           AT60170     47.0417      15.4331        ap
Austria           AT72519     47.4286      11.8718        ap
Austria           AT60164     47.0556      15.4166        ap
Austria           AT60142     47.3756      15.0745        ap
Austria           AT4S431     48.3028      14.2828        ap
Austria           AT20444     46.5542      13.7015        ap
Austria           AT4S406     48.165       14.0356        ap
Austria           AT2TREI     46.8633      14.4583        ap
Austria           AT0ILL1     47.7703      16.7664        ap
Austria           AT4S409     48.0494      14.4428        ap
Austria           AT90A23     48.2031      16.4346        ap
Belgium           BEMGN05     51.0265      3.7159         ap
Belgium           BEMAND1     50.4972      5.042          ap
Belgium           BEMJMP1     50.6207      5.5164         ap
Belgium           BEMM522     50.4651      3.939          ap
Belgium           BEMBE07     51.3251      4.8217         ap
Belgium           BEMR802     51.2097      4.4318         ap
Belgium           BEMHB18     51.1739      4.3441         ap
Belgium           BEMGK05     50.9405      5.5268         ap
Belgium           BEMHB17     51.1703      4.3379         ap
Belgium           BEMKK01     51.1209      2.6585         ap
Belgium           BEMHB23     51.1703      4.341          ap
Belgium           BEMN100     50.0957      4.5948         ap
Belgium           BEMN063     50.6554      4.6683         ap
Belgium           BEMH201     50.625       5.5475         ap
Belgium           BEMN132     49.719       5.6303         ap
Belgium           BEMBE01     51.324       4.8213         ap
Belgium           BEMR221     50.6584      5.6278         ap
Belgium           BEMGK11     50.9316      5.5204         ap
Belgium           BEMATH1     50.6351      3.7752         ap
Belgium           BEMN093     50.2745      5.2352         ap
Belgium           BEMCHA1     50.4093      4.4522         ap
Belgium           BEMCHA2     50.429       4.4587         ap
Belgium           BEMN085     50.3032      6.0017         ap
Belgium           BEMN060     50.6167      3.4576         ap
Belgium           BEMENG1     50.5836      5.3974         ap
Belgium           BEMNM01     50.4632      4.8724         ap
Belgium           BEMR750     51.1961      3.8229         ap
Belgium           BEMBE02     51.3321      4.8028         ap
Bulgaria          BG0025A     42.7082      24.1773        ap
Bulgaria          BG0034A     42.0232      24.8401        ap
Bulgaria          BG0020A     43.0742      25.6049        ap
Bulgaria          BG0070A     42.6372      23.2439        ap
Bulgaria          BG0061A     41.9302      25.5527        ap
Bulgaria          BG0078A     42.1412      24.788         ap
Bulgaria          BG0018A     41.6361      25.3797        ap
Bulgaria          BG0071A     42.6598      27.721         ap
Bulgaria          BG0024A     42.7275      23.556         ap
Bulgaria          BG0053R     41.6943      24.7381        ap
Bulgaria          BG0046A     42.5783      23.114         ap
Bulgaria          BG0083A     43.2173      27.936         ap
Croatia           HR0006A     45.4581      16.3884        ap
Croatia           HR0007A     45.8003      15.9741        ap
Cyprus            CY0004A     35.1519      33.3478        ap
Cyprus            CY0002R     35.038       33.0578        ap
Czechia           CZ0PPLR     49.7618      13.3816        ap
Czechia           CZ0ALIB     50.0073      14.4459        ap
Czechia           CZ0EPAU     50.024       15.7635        ap
Czechia           CZ0PPLX     49.7324      13.4023        ap
Czechia           CZ0TORO     49.8186      18.3404        ap
Czechia           CZ0HVEL     50.3542      15.8385        ap
Czechia           CZ0SBUS     50.1546      14.1899        ap
Czechia           CZ0TKAO     49.8589      18.5578        ap
Czechia           CZ0CCBT     48.9659      14.5088        ap
Czechia           CZ0ZTNV     49.2594      17.4106        ap
Czechia           CZ0CPIT     49.3105      14.1507        ap
Czechia           CZ0BBNI     49.2132      16.678         ap
Czechia           CZ0MOLS     49.5929      17.2662        ap
Czechia           CZ0BKUC     48.8814      16.0858        ap
Czechia           CZ0LLIL     50.7551      15.07          ap
Czechia           CZ0JKOS     49.5734      15.0803        ap
Czechia           CZ0JJIH     49.4016      15.6102        ap
Czechia           CZ0UDOK     50.4589      14.1702        ap
Czechia           CZ0UTUS     50.3766      13.3276        ap
Czechia           CZ0TOHO     49.8614      18.2133        ap
Czechia           CZ0SCRX     49.8384      15.2178        ap
Czechia           CZ0SKLS     50.1674      14.106         ap
Czechia           CZ0TBOX     49.9532      18.0885        ap
Czechia           CZ0TMIZ     49.868       18.569         ap
Czechia           CZ0BBNA     49.1888      16.627         ap
Czechia           CZ0LJIZ     50.82        15.3445        ap
Czechia           CZ0TCTN     49.749       18.6097        ap
Czechia           CZ0LJNM     50.7274      15.1622        ap
Czechia           CZ0TVER     49.9247      18.4229        ap
Czechia           CZ0TOPR     49.8563      18.2697        ap
Czechia           CZ0CCHU     49.0684      13.6148        ap
