Station                        Index        lat        lon      type
-----------------------------------------------------------------------------------------------
Houtem                        BE0013R      51.01628   2.582320    ap  
Koksijde                      BE0014R      51.12145   2.657322    ap  
Svratouch                     CZ0001R      49.73333  16.050000    ap  
Kosetice                      CZ0003R      49.57339  15.080278    ap  
Churanov                      CZ0005R      49.06667  13.600000    ap  
Westerland                    DE0001R      54.92556   8.309722    ap  
Waldhof                       DE0002R      52.80222  10.759444    ap  
Schauinsland                  DE0003R      47.91472   7.908611    ap  
Neuglobsow                    DE0007R      53.16667  13.033333    ap  
Schmucke                      DE0008R      50.65000  10.766667    ap  
Zingst                        DE0009R      54.43333  12.733333    ap  
Anholt                        DK0008R      56.71667  11.516667    ap  
Station_Nord                  DK0010G      81.60000 -16.670000    ap  
Risoe                         DK0012R      55.69359  12.085797    ap  
Sepstrup_Sande                DK0022R      55.08333   9.600000    ap  
Ulborg                        DK0031R      56.28333   8.433333    ap  
Lahemaa                       EE0009R      59.50000  25.900000    ap  
Vilsandi                      EE0011R      58.38333  21.816667    ap  
San_Pablo                     ES0001R      39.54778  -4.348611    ap  
Viznar                        ES0007R      37.23333  -3.533333    ap  
Niembro                       ES0008R      43.44222  -4.850278    ap  
Campisabalos                  ES0009R      41.28111  -3.142778    ap  
ElTorms                       ES0014R      41.40000   0.716667    ap  
Montseny                      ES1778R      41.76667   2.350000    ap  
Revin                         FR0009R      49.90000   4.633333    ap  
Peyrusse_Vieille              FR0013R      43.61667   0.183333    ap  
Saint-Nazaire                 FR0023R      44.56944   5.278972    ap  
Guipry                        FR0024R      47.83189  -1.836330    ap  
Verneuil                      FR0025R      46.81473   2.610008    ap  
Virolahti_II                  FI0017R      60.53000  27.690000    ap  
Pallas_Matorova               FI0036R      68.00000  24.240000    ap  
Kotinen                       FI0093R      61.23000  25.070000    ap  
Yarner_Wood                   GB0013R      50.60000  -3.710000    ap  
Heigham_Holmes                GB0017R      52.72000   1.620000    ap  
Harwell                       GB0036R      51.57306  -1.316667    ap  
Auchencorth_Moss              GB0048R      55.79216  -3.242900    ap  
Banchory                      GB0091R      57.08000  -2.530000    ap  
Chilbolton_Obs                GB1055R      51.14962  -1.438228    ap  
K-puszta                      HU0002R      46.96667  19.583333    ap  
Rucava                        LV0010R      56.16194  21.173056    ap  
Mace_Head                     IE0031R      53.33000  -9.900000    ap  
Reykjavik                     IS0090R      64.13333 -21.900000    ap  
Storhofdi                     IS0091R      63.40000 -20.280000    ap  
Bilthoven                     NL0008R      52.11667   5.200000    ap  
Vredepeel                     NL0010R      51.54111   5.853611    ap  
De_Zilk                       NL0091R      52.30000   4.500000    ap  
Birkenes                      NO0001R      58.38333   8.250000    ap  
Birkenes2                     NO0002R      58.38853   8.252000    ap  
Karvatn                       NO0039R      62.78333   8.883333    ap  
Kise                          NO0382R      60.76667  10.816667    ap  
Zeppelin_(Ny_Alesund)         NO0042G      78.90667  11.888333    ap  
Hurdal                        NO0056R      60.37239  11.078142    ap  
Troll                         NO0058G     -72.01667   2.533333    ap  
Andoya                        NO0090R      69.27833  16.011666    ap  
Lista                         NO0099R      58.10000   6.566667    ap  
Leba                          PL0004R      54.75000  17.533333    ap  
Diabla_Gora                   PL0005R      54.15000  22.066667    ap  
Rorvik                        SE0002R      57.42000  11.940000    ap  
Bredkalen                     SE0005R      63.85000  15.333333    ap  
Vavihill                      SE0011R      56.01667  13.150000    ap  
Aspvreten                     SE0012R      58.80000  17.383333    ap  
Rao                           SE0014R      57.39400  11.914000    ap  
Hallahus                      SE0020R      56.04290  13.148000    ap  
Iskrba                        SI0008R      45.56667  14.866667    ap  
Chopok                        SK0002R      48.93333  19.583333    ap  
Stara_Lesna                   SK0004R      49.15000  20.283333    ap  
Starina                       SK0006R      49.05000  22.266667    ap  
Topolniky                     SK0007R      47.96000  17.860556    ap  
