Station                                                  Index         lat        lon      type
-----------------------------------------------------------------------------------------------
Amsterdam_Island                                           AMS       -37.80      77.55       ap
Bariloche                                                  BAR       -41.13     -71.42       ap
Calhau_Sao_Vicente                                         CAL        16.86     -24.87       ap
Cape_Grim                                                  CGR       -40.68     144.69       ap
Cape_Hedo                                                  CHE        26.86     128.25       ap
Cape_Point                                                 CPT       -34.35      18.49       ap
Col_Margherita                                             CMA        46.37      11.79       ap
Dome_Concordia                                             DOC       -75.10     123.35       ap
Dumont_d'Urville                                           DDU       -66.66     140.00       ap
Ev-K2                                                      EVK        27.96      86.81       ap
Kodaikanal                                                 KOD        10.23      77.47       ap
La_Seyne-sur_Mer                                           LSM        43.11       5.89       ap
Listvyanka                                                 LIS        51.85     104.89       ap
Longobucco                                                 LON        39.39      16.61       ap
Manaus                                                     MAN        -2.89     -59.97       ap
Minamata_Kyushu_islands                                    MIN        32.23     130.40       ap
Mt._Ailao                                                  MAL        24.54     101.03       ap
Mt._Changbai                                               MCH        42.40     128.11       ap
Mt._Waliguan                                               MWA        36.29     100.90       ap
Nieuw_Nickerie                                             NIK         5.96     -57.04       ap
Sisal_Yucatan                                              SIS        21.16     -90.05       ap
Koksijde                                                   KOK        51.12       2.66       ap
Kosetice_Kresin_u_Pacova_ground                            KRE        49.58      15.08       ap
Westerland                                                 WES        54.93       8.31       ap
Waldhof                                                    WAL        52.80      10.76       ap
Schauinsland                                               SLD        47.91       7.91       ap
Schmucke                                                   SMK        50.65      10.77       ap
Zingst                                                     ZIN        54.43      12.73       ap
Station_Nord                                               STN        81.58     -16.61       ap
Niembro                                                    NMB        43.44      -4.85       ap
Virolahti_II                                               VIR        60.53      27.69       ap
Pallas_Matorova                                            PAL        68.00      24.24       ap
Kotinen                                                    KOT        61.23      25.07       ap
Yarner_Wood                                                YAR        50.60      -3.71       ap
Heigham_Holmes                                             HGH        52.72       1.62       ap
Harwell                                                    HAR        51.57      -1.33       ap
Auchencorth_Moss                                           ACM        55.79      -3.24       ap
Banchory                                                   BAN        57.08      -2.53       ap
Mace_Head                                                  MHE        53.33      -9.90       ap
Storhofdi                                                  STO        63.40     -20.28       ap
De_Zilk                                                    ZIL        52.30       4.50       ap
Birkenes                                                   BIR        58.38       8.25       ap
Zeppelin_(Ny_Alesund)                                      ZEP        78.91      11.88       ap
Andoya                                                     AND        69.28      16.01       ap
Diabla_Gora                                                DBL        54.15      22.07       ap
Vavihill                                                   VAV        56.02      13.15       ap
Rao                                                        RAO        57.39      11.91       ap
Rorvik                                                     ROR        57.42      11.94       ap
Bredkalen                                                  BRE        63.85      15.33       ap
Iskrba                                                     ISK        45.56      14.86       ap
Troll                                                      TRO       -72.01       2.53       ap
Alert                                                      ALE        82.49     -62.34       ap
Egbert                                                     EGB        44.23     -79.79       ap
St._Anicet                                                 WBZ         45.2        -74       ap
